id,created_at,favorite_count,retweet_count,text
1588664530598780928,2022-11-04 22:48:34+00:00,5,2,Yesterday I met with @JVSSoCal leadership to learn about their programs helping thousands of fellow Angelenos find jobs every year. Their employment and training programs help at a time when there is both great economic need but also when employers are struggling to hire. https://t.co/VrwO6SgXfk
1588312544254775298,2022-11-03 23:29:54+00:00,3,0,I authored #SB1322 so Californians can begin to get a better understanding of why drivers’ wallets are getting crushed at the pump by gas prices amidst record profits by oil companies. Seeing information like this keeps me wondering: What’s going on here?! https://t.co/y9FeP0irNI
1588035616893116418,2022-11-03 05:09:29+00:00,3,4,"Editorial: GOP responds to Pelosi attack with cruel, baseless jokes. It’s shameful https://t.co/p4X3XIBWtc"
1587979371943317505,2022-11-03 01:26:00+00:00,7,0,This morning I had the pleasure of meeting with @pepperdine administrators to learn more about the University's current operations and plans for the future. I'm both grateful and excited for the opportunity to represent such an esteemed institution over the next four years! https://t.co/uo6jyRNdxb
1587908808939999232,2022-11-02 20:45:36+00:00,6,1,Join us this evening at 5 pm! https://t.co/VCE488WJ5r
1587571668225953794,2022-11-01 22:25:56+00:00,4,0,I’m joining Heidi Sandborn w/ @NSACTION_US @ the Nat’l Conference of @usmayors Waste Management Summit discussing using both the carrot &amp; stick to bring about ambitious recycling policies like #SB54 in our path to a equitable and circular economy. Live now:https://t.co/vz6FEQqpeX
1587469524525191168,2022-11-01 15:40:03+00:00,20,3,@BonninMike @YouTube .Wow I don’t support that kind of thing either. I would hope that Erin would disassociate himself from those statements. They certainly don’t reflect the guy I know.
1587454352788103168,2022-11-01 14:39:45+00:00,9,1,LATimes: Shocking new details blow up conspiracy theories about Paul Pelosi attack - it’s amazing how quickly so many of our fellow Americans believed and spread this crazy nonsense.  https://t.co/0nHFjGFw0t
1587307084638347264,2022-11-01 04:54:34+00:00,32,0,Happy Halloween from my family to yours! It was so much fun to be out in person again this year and see everyone out celebrating. https://t.co/Vrg4bBpBiH
1587231057027268610,2022-10-31 23:52:27+00:00,19,9,It’s not too late to join author (and law school friend) @hmcghee &amp; me for a virtual conversation tomorrow at 11:45am about her book #thesumofus highlighting the way discriminatory policies harm us all &amp; how unity provides a path to communal progress. RSVP:https://t.co/aB7FW955Un https://t.co/A2fr0IMw3e
1586796337248419841,2022-10-30 19:05:02+00:00,5,0,I was at the @labreatarpits Museum recently w/ family learning about the fascinating fossils excavated from the site. All the more reason I'm proud to have joined my colleagues this year in securing $5 million in state funds to support programs to educate &amp; engage museum visitors https://t.co/HcP4eCJDLw
1586796328536788992,2022-10-30 19:05:00+00:00,17,5,"LA’s own @labreatarpits joins some of the world’s great natural marvels, like the Grand Canyon &amp; Mt. Everest, in being recognized as one of the first 100 @theIUGS Geological Heritage Sites. What’s more: the site is the only urban inaugural location! https://t.co/jer9T2cgLP"
1586570671370297345,2022-10-30 04:08:19+00:00,44,15,Incredibly troubling video showing the breakdown in civility in Santa Monica this election season with attorney Kevin Shenkman (the tall guy) who is hoping to get very rich off of a new City Council who he hopes will settle with him: https://t.co/w02GLDuDe3 via @YouTube
1585828575541792768,2022-10-28 02:59:30+00:00,1,0,Watch @CAfortheArts’ livestream of the session via Instagram! https://t.co/JWTASLJXIU
