id,created_at,favorite_count,retweet_count,text
1587968115249274880,2022-11-03 00:41:16+00:00,2,1,"As someone who successfully fought the potential closure of my own high school years ago, I think a new school raises hope and opportunity for a community. Best of luck to the founding class of @SantaClaraUSD’s Kathleen MacDonald High &amp; thanks for the tour. https://t.co/CAE0sk2Kyo"
1587966225962782720,2022-11-03 00:33:45+00:00,1,0,"Had a great tour of @SantaClaraUSD MacDonald High School with Founding Principal Dr. Vivian Rhône-Lay, Trustee Bonnie Lieberman and others. Great to see the transformation of this site and how generations of students will benefit for years to come. https://t.co/7FSzUGYQow"
1587477545208848384,2022-11-01 16:11:55+00:00,0,0,I hope you join me &amp; @alex_lee for today’s Cash for College workshop. https://t.co/mOmv78HKyj
1587113290630500352,2022-10-31 16:04:30+00:00,3,1,Presented a joint resolution with @Evan_Low &amp; @alex_lee in honor of @SC_Bruins 150th anniversary. Sixth oldest school in California. @SantaClaraUSD @LisaGillmor @KWatanabeDist1 https://t.co/UIhojWxBpP
1585857903730126848,2022-10-28 04:56:02+00:00,5,0,Thanks for all your support on housing and ADUs. https://t.co/fo592lYyZW
1585856615881711616,2022-10-28 04:50:55+00:00,6,0,"We honored the great environmental work of U.S. Rep. Pete Stark today. So wonderful to see his family and former staffers. Thx to Chuck Bonham, Fish and Wildlife Director @CaliforniaDFW for his remarks on the history of the reserve. https://t.co/86QFxwPgOr"
1585853543725965313,2022-10-28 04:38:43+00:00,3,0,Great day at the newly renamed Congressman Pete Stark Ecological Reserve at Eden Landing. https://t.co/H0iNHjHywu
1583612730736447488,2022-10-22 00:14:31+00:00,14,2,I worked with @AsmBillQuirk to get $5.7 million to complete funding for a 76-unit senior housing project by @EAHHousing in @cityofhayward. The Mission Paradise project received CA Housing Accelerator funding earlier this year. It will help us meet our Master Plan for Aging goals. https://t.co/bRIvoEFcJB
1582462655091965952,2022-10-18 20:04:32+00:00,0,0,This is a great project with many educational and recreational benefits for our community. https://t.co/8hB9T6Fetg
1579571844780216320,2022-10-10 20:37:29+00:00,2,0,Congrats to @CAIRSFBA’s Sameena Usman @sameenu another Local Hero who advocates for justice and mutual understanding. Thx for your work in SD 10 and beyond. https://t.co/n53cFl7AY2
1579570465168715777,2022-10-10 20:32:00+00:00,0,0,Kim Huggett of @haywardchamber provided years of service as the chamber’s president and CEO. Thank you for decades of work to the Hayward community. https://t.co/YWt1KSVyvR
1579569169867059200,2022-10-10 20:26:51+00:00,0,0,"Salim Mastan, who was introduced by Sue Chan, is a wonderful local ambassador whose contributions to our community are endless. One of our Local Heroes. https://t.co/UmQnm0MUd9"
