id,created_at,favorite_count,retweet_count,text
1588646717574254592,2022-11-04 21:37:47+00:00,0,1,"Budget  wins secured this year will help my district w/ public safety infrastructure needs. We all deserve to feel safe &amp; proud of where we live.

✅ $1.25 Million for King City
✅ $2 Million for Soledad 
✅ $1.5 Million for Mendota
✅ $3 Million for Merced 
✅ $250,000 Coalinga https://t.co/GWxL7Sx9Dt"
1587190153780424705,2022-10-31 21:09:55+00:00,3,0,Wishing boos and ghouls of all ages from throughout Senate District 12 a spooktacular Halloween. Be safe and enjoy! 🎃👻 https://t.co/ruymddCYWq
1585671356196061195,2022-10-27 16:34:46+00:00,1,0,"I was happy to join yesterday’s launch of Monterey County California Volunteers Youth Job Corps program. Our world is rapidly changing, so programs such as these are critical to help train and hire young adults. https://t.co/2EZjpegGXd"
1585336629085884417,2022-10-26 18:24:41+00:00,1,0,"I ❤️ spending time in #Mendota! Yesterday, I had a conversation w/ the city to discuss the vision for the community &amp; with fundining delivered, a centrally located/accessible police station &amp; city hall are in the works. Our rural communities are important &amp; worthy of investment. https://t.co/rM3oYNYz34"
1584699756470992896,2022-10-25 00:13:58+00:00,1,0,Wishing peace and light to those celebrating today! 🪔 https://t.co/ahoJ4XwfMc
1584268157690093568,2022-10-23 19:38:57+00:00,3,0,"I was proud to deliver $5 million to the @CityofMadera to repair critical wastewater infrastructure without burdening ratepayers. Residents can now rest assured that the issue is being resolved and will not impact their service or quality of life. 

 https://t.co/QYpFcPkKBm https://t.co/J8DEsdpXty"
1583537902226530304,2022-10-21 19:17:11+00:00,0,0,"Thank you, @ChancellorMunoz for the warm welcome and opening remarks that set the stage for a powerful event! https://t.co/X8FaQf5Wye"
1583522556023226368,2022-10-21 18:16:12+00:00,9,2,"Many thanks to @ucmerced Labor Center for joining me in hosting the first of its kind, Central Valley Leadership Forum. As women, we need to step into leadership roles with certainty &amp; confidence &amp; remember to lift others up as we climb. I’m already looking forward to next year! https://t.co/AZhKdK0wjv"
1582414237938307072,2022-10-18 16:52:08+00:00,0,0,Proud to secure public safety dollars benefiting residents &amp; families in my District. This funding will create educational &amp; career pathway opportunities for young people &amp; training certification/programs to ensure first responders are prepared to serve. https://t.co/xeEioNY88Q
1580658949459570689,2022-10-13 20:37:15+00:00,2,0,spent the day in #Coalinga yesterday and appreciate the opportunity to work with city staff and leadership to help address issues in the community. It was also my pleasure to support the city’s public safety efforts by securing money in this year’s budget. https://t.co/a888Nh8O89
1577872612931215360,2022-10-06 04:05:21+00:00,3,1,Our city is in mourning tonight. My heart is with the family and friends of the victims that were kidnapped in Merced this week. Offering my condolences and prayers.
1577411773363208196,2022-10-04 21:34:08+00:00,10,2,"ICYMI: Governor Newsom has signed my bill to ensure that our school children receive the highest quality foods in their school meals. My bill protects good paying jobs, invests in our farmers and puts the health of our children first! https://t.co/fhAYfZ0QtU"
1575956288160223234,2022-09-30 21:10:33+00:00,4,0,Today we celebrated and presented certificates to the graduates of the first all-female Valley Build NOW apprenticeship program. This program will help 13 women secure trades jobs throughout the central valley. I am so proud of your hard work. Congratulations! @WDB_Fresno https://t.co/zgJCvEDj58
1575251157215109121,2022-09-28 22:28:37+00:00,13,2,"#SB6 is signed &amp; delivered to the people of CA. Let’s solve our housing crisis with an expedited plan to convert empty retail space into walkable villages for residents &amp; let’s use a skilled &amp; trained workforce to do it!Everyone deserves a safe, affordable place to call home. https://t.co/u20ipxWaN7"
