id,created_at,favorite_count,retweet_count,text
1588568637761552385,2022-11-04 16:27:32+00:00,7,4,"Another 261,000 new jobs created with more associated wage increases."
1588565271748694016,2022-11-04 16:14:09+00:00,19,6,"Let's not forget how terrible the economy was when @potus took office.

Yes, we've had tough challenges, but we're on the right track, including on inflation (where we're outperforming every other country).

Economy ⬆️
Unemployment ⬇️
Wages ⬆️

VOTE BLUE!
https://t.co/n9QeL77pCw"
1588527421820899329,2022-11-04 13:43:45+00:00,2,1,Absolutely horrific. Terrific (if sobering) reporting by @AP. https://t.co/3Do2SSeCUr
1588393364323389440,2022-11-04 04:51:03+00:00,16,1,Excited that our kids got to see @JoeBiden and @MikeLevin tonight! https://t.co/1CA5bHcmLb
1588355378127204352,2022-11-04 02:20:07+00:00,99,10,Waiting for @MikeLevin and @JoeBiden in Oceanside! https://t.co/SAkrx4UpAa
1588354512942616576,2022-11-04 02:16:40+00:00,3,0,@cbadnik @MikeLevin @POTUS @GavinNewsom @MomsDemand Here!
1588156249819951107,2022-11-03 13:08:51+00:00,1,0,"@DarthPutinKGB Wow. This ""parody account"" is 1) really not a parody account; 2) really really not funny; and 3) really really really consistently wrong, about everything."
1588149141330219010,2022-11-03 12:40:36+00:00,3,0,"Been a while since I got a 2-and-out!

Wordle 502 2/6*

🟩🟨⬜⬜🟨
🟩🟩🟩🟩🟩"
1588148657785696258,2022-11-03 12:38:41+00:00,4,0,"OF COURSE the ""fentanyl in your Halloween candy"" scare, first proposed in a GOP political ad, then spread at every opportunity by FoxNews, was a hoax.

I know of many families who kept their kids from trick-or-treating bc of this partisan nonsense. 😡😡😡
https://t.co/iHFYdFjo3x"
1587905981203107840,2022-11-02 20:34:22+00:00,0,0,@emily_hughes3 Thank you!
1587872140279574528,2022-11-02 18:19:54+00:00,3,0,But it's a value killer for Twitter imo. And probably something he and his Saudi/Russian investors should have vetted before grossly overpaying for this company. 6/
1587871985069002752,2022-11-02 18:19:17+00:00,4,0,"Given that the new owner of Twitter is a guy who equates the @nytimes with a random fake news website, it's easy to see why he doesn't understand the idea of verification and ""trusted"" sources. 5/"
1587871891372417024,2022-11-02 18:18:54+00:00,4,0,"For those of us who use this site to read breaking news, hot takes, etc., we will become inundated with fake ☑️ accounts (which of the 2000 new @StephenKing accounts should I trust?), which will lead us to disengage and move to other platforms. 4/"
1587871829904879616,2022-11-02 18:18:40+00:00,6,0,"Making the ☑️ button ""pay to play"" will eliminate its actual value, both for people with the ☑️ button and those who follow them. 3/"
1587871688703627264,2022-11-02 18:18:06+00:00,2,0,"Most of us on Twitter (including many with the ☑️) primarily use this site to read the content posted by others (esp. ☑️ accounts).

The ☑️ button allows us to easily discern between those who are who they say they are and the vast hordes of bots, trolls, and randos on here. 2/"
1587871493630722049,2022-11-02 18:17:19+00:00,14,2,"My 2c on @elonmusk's ☑️ proposal:

Elon clearly thinks the primary benefits of ☑️ are for the verified user.

As someone who has ☑️ but not a million followers, I think he's wrong. The primary benefits of ☑️ are for the average Twitter user, to discern who's real vs. fake. 1/"
1587849009535668224,2022-11-02 16:47:59+00:00,0,0,Very interesting thread about one key figure in the climate denial movement. https://t.co/iYvBGN459f
1587769966983491584,2022-11-02 11:33:54+00:00,21,14,"According to the @OCRegistrar, with one week to go, only 13.53% of ballots have been returned.

In 2018's Blue Wave, Orange County had a 71% turnout.

Do better, OC! VOTE! https://t.co/QpjdxIhD7f"
1587620902157488128,2022-11-02 01:41:34+00:00,8,0,This is the only correct take. https://t.co/gMmeifdEDO
1587572764776464391,2022-11-01 22:30:17+00:00,1,0,@socalbyrd Thank you! I’m privileged to represent you!
1587568600382070793,2022-11-01 22:13:44+00:00,84,34,"We’re one week away from polls closing. The stakes are enormous. 

Democracy, women’s rights, climate, a sustainable economy, and so much more are on the ballot.

The biggest weapon we have is voter turnout. 

High turnout = 🌊🌊🌊
Low turnout = 💩💩💩

It’s that simple. VOTE!"
1587524682533650433,2022-11-01 19:19:13+00:00,192,94,"Don't tell me that launching a massive social experiment (legalizing all gun carry) based on a radical untested theory (more guns reduces gun violence) which was proffered by gun lobbyists and defies common sense is ""conservative.""
https://t.co/NBXDtfJUdt"
1587455300918878209,2022-11-01 14:43:31+00:00,47,15,"Of course he did.

I've said this before, and I'll say it again:

THIS IS A LAWLESS SUPREME COURT.

It does not respect the rule of law, it does not care about fairness or objectivity, it cares only about advancing extreme right-wing and partisan Republican interests. https://t.co/cUlLT9lVgh"
1587450132827471872,2022-11-01 14:22:59+00:00,9,0,@MollyJongFast https://t.co/1yqHoBkMaO
1587449795907506177,2022-11-01 14:21:39+00:00,7,0,Is Brian Kemp seriously trying to tell us people should vote for Herschel Walker because he has some master plan to address inflation and gas prices? GTFO
1587448612572647427,2022-11-01 14:16:57+00:00,6,0,"Here's why Herschel Walker's transgressions are so egregious.

As with other MAGA Republicans, we know HW is totally unqualified to actually govern. All these guys have are moral outrage issues to campaign on. 

So when they completely fail on that front, what do they have left? https://t.co/Mw50Qxfr2I"
1587439463902326784,2022-11-01 13:40:36+00:00,4,0,"Pretty good, but what's up with the pro-Assembly bias here? No Senate coverage!"
1587436479143215110,2022-11-01 13:28:44+00:00,5,2,"Excited to start this 86-clue crossword puzzle (and trying to finish it in under 15 minutes) from @FromBenC and @jeremiak of @CalMatters!

https://t.co/ctmnk7T4sF"
1587310163580440576,2022-11-01 05:06:48+00:00,1,0,"@JenniferFearing I was a little off, but to be fair, I live in Irvine!"
1587285775330091008,2022-11-01 03:29:53+00:00,3,0,"@JenniferFearing I will tell you how that experiment ends... you get to drink a glass of wine without being bothered, and your candy will disappear within 20 minutes."
1587154243823104000,2022-10-31 18:47:14+00:00,91,24,"So the obvious question is ""how?""

How will you lower gas prices, reduce inflation, and restore economic opportunity?

Because every chance you've had, your answer has been to cut taxes for the top 0.1% and undermine Social Security and Medicare.

And that's not working. https://t.co/Gva0ZMxL4Z"
1587153312020717568,2022-10-31 18:43:32+00:00,1,0,"@timkawakami Wiseman still looks raw, but he's progressed a ton since his first season, and the physical tools are tremendous. Between his wingspan, quickness, and vertical, he takes up so much space in the paint.

It's easy to imagine what a huge difference maker he could be for this team."
1587084410632953857,2022-10-31 14:09:44+00:00,32,2,"California has perhaps the most secure and transparent elections in the country. 

Meanwhile, local election officials here and across the country fear for their safety because of the bogus claims you and your party are making with ZERO evidence.

Stop destroying our democracy. https://t.co/0INu3S24JR"
1587082790834556929,2022-10-31 14:03:18+00:00,27,4,"Maybe I'm missing something, but it seems to me the defining brand of Trumpism is just to be the biggest a$$hole possible. https://t.co/fZ6jrY6yL3"
1587055832465743872,2022-10-31 12:16:11+00:00,44,13,"Let me be clear. The racist attacks on Jay Chen are anti-Asian hate, and I unequivocally condemn them and call on those responsible to retract them immediately.”
6/6"
1587055775779733504,2022-10-31 12:15:57+00:00,32,7,"... these despicable campaign ads, which falsely slander Lt. Commander Chen—and by implication every other Chinese-American—as a Communist Chinese sympathizer, will further stoke the flames of anti-Asian hate and result in more violence against Asian Americans.
5/"
