id,created_at,favorite_count,retweet_count,text
1586051407156633600,2022-10-28 17:44:57+00:00,11,5,Get your #flushot (and #CovidVaccine too). #FluBeforeBoo #Ivax2protect #VaccinesWork @famfightflu @Vaxyourfam https://t.co/cHghKarQGr
1585741241303543808,2022-10-27 21:12:28+00:00,18,7,"How it started:                          How it's going:
Elected #CAleg in 2010          Finish CAleg in 2022
CA 9th largest economy          CA 4th largest economy
@TheDemocrats grow the #economy ! @CA_Dem @sacdems #CAleads https://t.co/HXS2W5jQbm"
1585467837237276672,2022-10-27 03:06:03+00:00,8,4,"#Mentalhealth issues in children rose before #COVID19 &amp; guns are now the leading cause of death in children. We must #EndGunViolence for our children’s mental health. Vote 4 candidates who will end gun violence. #MentalHealthMatters #election @MomsDemand 
https://t.co/OiLW34ZVVK"
1585357835193311232,2022-10-26 19:48:57+00:00,4,1,"Fact: Stephanie Nguyen paid her taxes, and her “business” is an #AAPI tax-exempt community non-profit @AsianResources1 . “the tax collector filed another document in June 2020 releasing the lien and canceling the bill ‘due to an erroneous assessment.’” @CapitolAlert #Sacramento https://t.co/7UXtpwCoeh"
1585152958022701056,2022-10-26 06:14:50+00:00,25,12,"“one of the largest districts in the nation to outpace other districts and states, despite keeping schools closed until fall 2021, months longer than many other places,… But amid a national plunge in math and reading scores… the Los Angeles Unified School District stood out,” https://t.co/mZntgKtvMB"
1585105666045546496,2022-10-26 03:06:55+00:00,8,5,MAGA Republican Oz wants a political commissar to report on and pass judgements about decisions made by pregnant patients and their doctors in the exam room. That is not American. #PASenDebate #FettermanForSenate #BansOffOurBodies #MedicalFreedom #VoteBlueToSaveAmerica https://t.co/eO2hw4sCv9
1584607872356581376,2022-10-24 18:08:52+00:00,4,0,"The police likely did all they could at risk to their own lives to stop the gunman, but the gunman still killed two people and injured many more. #EndGunViolence https://t.co/qRMBtB3nEF"
1584606027588128768,2022-10-24 18:01:32+00:00,22,14,Guns are the leading cause of death in children in the US. #EndGunViolence @AmerAcadPeds @MomsDemand https://t.co/DOKD8BO1lV
1584590618432483329,2022-10-24 17:00:18+00:00,12,3,"In the past year, #polio was found in the US &amp; UK because of vaccine disinformation amplified by conspiracists &amp; social media. We must not allow suffering caused by polio to continue in our world. #WorldPolioDay #Ivax2protect #VaccinesWork #infodemic @EndPolioNow @WHO @Rotary https://t.co/mTsKXsF6sj"
1584247017693360129,2022-10-23 18:14:57+00:00,34,6,Honored to be recognized with @PCH_SF by our physician peers for our advocacy for #publichealth and our community. #CovidIsntOver #GetVaccinated #StopAsianHate @ChineseHospital @UCSF @casendems https://t.co/37eBtJA2A7
1583473108899414016,2022-10-21 14:59:43+00:00,1,0,@nytimes The MAGA Republican candidate for Governor in #Pennsylvania shamelessly tells lies about @ChildrensPhila on TV to incite outrage &amp; hate toward people who devoted their careers to saving children. @hospitals4kids @AmerAcadPeds #NoH8 #Election2022 https://t.co/8RwUBScKSL
1583466097210060800,2022-10-21 14:31:51+00:00,3,0,"@AuforGA @AmerAcadPeds @MAG1849 @ASAGrassroots @docsinpolitics @314action @ASALifeline @GAHouseDems @GASenateDems @GeorgiaDemocrat @fultondems @GSAHQ Congratulations, @AuforGA ! Thank you for your advocacy for children in Georgia. #PutKids1st #VoteKids #Election2022"
1583136591056207873,2022-10-20 16:42:31+00:00,0,0,"@I_Am_JohnCullen 19 children died in #Ulvade . 
How many of your own children dying would be too many? How many of other parent’s children dying is too many? The answer should be the same, one. #PutKids1st #EndGunViolence #CovidIsNotOver #GetVaccinated #MaskUp 
https://t.co/f42TTrvjsq"
1582943084614074368,2022-10-20 03:53:35+00:00,15,4,"With the highest maternal mortality rate in the developed world, MAGA Republicans running Texas do not care about saving the lives of pregnant patients and children. #AbortionIsHealthcare #BansOffOurBodies #MyBodyMyRights #CAleads https://t.co/pT5ebXQAq5"
1582913769759395840,2022-10-20 01:57:06+00:00,53,17,"Child: Why are you sticking this swab in me?
Parent: Gov. Abbott said someone might shoot you at school so we can’t recognize you, and the swab lets the police to tell us if what they found in school is you.
Child: Do I still have to go to school? 
#Uvalde #EndGunViolence https://t.co/r17N2QHVLJ"
1582844687336906752,2022-10-19 21:22:35+00:00,14,9,"“White people who assumed the #pandemic had a disparate effect on communities of color — or were told that it did — had less fear of being infected with the #coronavirus, were less likely to express empathy toward vulnerable populations &amp; were less supportive of safety measures” https://t.co/OgsLgEFRNj"
1582209002078756864,2022-10-18 03:16:36+00:00,15,1,Authored legislation for California to manufacture insulin and other generic medications and provide insulin at-cost to people with diabetes. #CAleads #Health4All @AmDiabetesAssn @healthaccess https://t.co/q2LcHF5mlc
1582205876844130304,2022-10-18 03:04:11+00:00,15,0,"@TotallyCanc3l3d @GidMK You haven’t done your research. #Ivax2protect #StopHateForProfit 

When Tennessee fired its vaccine chief, officials were caught off guard, emails show https://t.co/MMGtBiTatr"
1582203896448942080,2022-10-18 02:56:19+00:00,1,1,"“We found significantly higher rates of health care use after a positive SARS-CoV-2 PCR test in an analysis that matched test-positive with test-negative people.” #longCOVID #COVIDisNotOver #HealthCareCosts @CMSGov @DHCS_CA @CA_HCAI 
https://t.co/NOSVSeE2Ei"
1580920305358278656,2022-10-14 13:55:47+00:00,11,5,"“the uncertainty about health and safety in public schools, along with the rising costs of child care and inconsistent access, meant that millions of working-class mothers have felt that they have no choice but to stay home with their children.” #1MdeadAmericans #UrgencyOfEquity https://t.co/HFH8WEdlRp"
1580335462786269185,2022-10-12 23:11:50+00:00,14,5,"Join California leaders @GavinNewsom , @EleniForCA , @JerryBrownGov &amp; I in voting @AshbyForSenate . #standingforwomen #Sacramento #ElkGrove #SD8 #Election2022 @AngeliqueAshby https://t.co/HKy4A9tJgS"
1580328783474614272,2022-10-12 22:45:17+00:00,12,6,"@CAgovernor @GavinNewsom is taking on Big Oil and high gas prices, and he endorsed @AngeliqueAshby to help him get the job done. #CAleg #SD8 #Election2022 @AshbyForSenate https://t.co/AXun3ZKOeb"
1580218819628310531,2022-10-12 15:28:20+00:00,7,4,"“‘the mild cases by far outnumber the severe, so even a small percentage of mild cases going on to develop long-term sequelae is a massive public health concern.’
Putrino also warned against assuming that asymptomatic infection is not associated with persistent symptoms.” https://t.co/qcxY5IhQPa"
