id,created_at,favorite_count,retweet_count,text
1586053254290427904,2022-10-28 17:52:17+00:00,2,0,How is this ok?  Gas industry PR boss just compared the climate movement to the Nazi party  https://t.co/NmCTDOQI3t
1585447296996515840,2022-10-27 01:44:26+00:00,7,1,"While cynics in fossil industry stoke fear about building decarbonization, millions of Californians with leaky furnaces, stoves &amp; ACs are about to get new rebates for super efficient, electric cooking, heating &amp; cooling appliances.  #HeatPumpItUp #HeatPumpWaterHeaterDay https://t.co/XReYuLIhC4"
1585370504269295616,2022-10-26 20:39:17+00:00,0,1,Participants include: @honeywell @TellurianLNG @Shell @bakerhughesco @bakerbotts @bp_America @FluorCorp @APIenergy @natgas_ngsa @AXPC_US @TheCLCouncil @Stanford @NaomiBoness @ENERGY @FERC @CSIS @BPC_Bipartisan @GermanyinLA @ClearviewEnergy @StateDept @BlackRock @EnvDefenseFund
1585367605485137920,2022-10-26 20:27:46+00:00,1,2,https://t.co/NmCTDOzF1t
1585367556051079168,2022-10-26 20:27:34+00:00,8,6,"Amidst a wave of Anti-Semitism, PR pro John Davies just suggested the oil &amp; gas industry attack climate advocates as Nazis at the North American Gas Forum. Calling on sponsors of this forum to cut ties w/Davies and disavow any effort to militarize opposition to climate action. https://t.co/EJGK80j04g"
1584673012527534080,2022-10-24 22:27:42+00:00,1,0,@SEIU721 🙏 TY
1584621453689094144,2022-10-24 19:02:50+00:00,20,7,"Anti Semitism, like all hate, often hides in plain sight.  When those who hate hide behind masks in our modern day public squares, they don’t deserve a platform for their message, see @JFedLA👇 https://t.co/2HvEfBEUe0"
1583151056451932160,2022-10-20 17:40:00+00:00,97,56,"If you’re cooking with ⁦@socalgas⁩ from #AlisoCanyon in San Fernando &amp; Santa Clarita Valleys, you’re being exposed to 30x more benzene than avg CA household. ⁦⁦@CAgovernor⁩ @AReynoldsCPUC⁩ plan for 2027 closure can’t come quickly enough. https://t.co/JDdB916wmy"
1578222173856026624,2022-10-07 03:14:22+00:00,398,121,"If anyone heard @KarenBassLA on the @KNXNews #LAMayorDebate tonight, she showed the kind of composure and grit that are EXACTLY what we need in the next mayor."
1572990086383534080,2022-09-22 16:43:55+00:00,1,0,"One antidote to all the greenwashing &amp; climate equivocation ⁦@ClimateWeekNYC⁩: a free press, unwilling to be dodged.  See eg ⁦World Bank’s chief ⁦@DavidMalpassWBG⁩ trying to duck ⁦@nytclimate⁩ reporter to no avail.  #DefundClimateChaos https://t.co/PcezulMxrG"
1572293505220739074,2022-09-20 18:35:58+00:00,6,2,"#ClimateWeekNYC feels a bit awash in green PR. While their lobbyists weaken regs to disclose their oil/gas holdings &amp; supply chain risks, @MorganStanley sponsors Climate Forward @nytclimate event &amp; @Unilever @BlackRock CEOs tell @BillClinton “we must go slower to go faster.”🤔"
1565869301482999808,2022-09-03 01:08:28+00:00,3,0,More here: https://t.co/x2maVsGs3j
1565821767033110528,2022-09-02 21:59:35+00:00,26,8,"Excellent recap from ⁦@NRDC⁩ of what we just got done on climate, beyond the bills.  Combined w/ Inflation Reduction Act, CA is about to undertake the largest ever capital investment in state/natl history, all centered on climate, equity and jobs. https://t.co/AIY8fzKvfv"
1565133714257899520,2022-09-01 00:25:30+00:00,8,4,"Flex alert due to extreme heat, first responders putting it all on the line, while we contemplate whether to act now on climate in the California Legislature #AB2133 Some kind of disconnect here.  https://t.co/zO1s0L2x2M"
1564665352667074560,2022-08-30 17:24:24+00:00,9,1,Climate change is just charts and targets and protocols and politics as usual…until it isn’t. https://t.co/FUCNgZGykb
1564664385292754944,2022-08-30 17:20:34+00:00,12,0,@TheFive07 Thanks for bringing your cool to all of us in Thousand Oaks!  We need more creative spaces (and excellent coffee) in the Conejo Valley.
1564394817051774977,2022-08-29 23:29:24+00:00,55,1,"@JalbyMD Somehow I don’t believe this tweet will go viral. Your calling card is calling people to the carpet. That said, thanks for noticing. More to come…"
1564387916071067648,2022-08-29 23:01:58+00:00,24,0,@AaronGuhreen This is the nicest Twitter exchange we’ve ever had!  I predict more to come…
1563298298466746372,2022-08-26 22:52:13+00:00,2,0,"@JohnJHarwood @RealDanielStern He was just a kid when he had me at 23, and I was the first millennial elected to the CA Senate.  We get started young in the Stern fam!"
1563006024469979139,2022-08-26 03:30:50+00:00,15,4,"If you’re curious how ludicrous the oil and gas propaganda machine can get, look no further than this slothful attack on #AB2133, which would finally require California to crack down on dangerous, leaking neighborhood oil &amp; gas operations like Pico, AllenCo and Aliso. https://t.co/psIssGtqe9"
