id,created_at,favorite_count,retweet_count,text
1586156643724599296,2022-10-29 00:43:07+00:00,5,1,Join me tomorrow in support of Chief Robert Luna for LA County Sheriff ⤵️ https://t.co/WhRMCnpvLu
1586121036923183105,2022-10-28 22:21:38+00:00,2,0,Joined Supervisor @HildaSolis Solis to get the word out on Prop 1. CA will stand up for women and protect our right to reproductive freedom. https://t.co/yWSRTn3OPb
1586058720936529920,2022-10-28 18:14:01+00:00,17,1,"Great turnout last night in support of our next Mayor @KarenBassLA with Sen. @BernieSanders! We’re 11 days from Election Day. Sign up to canvass, phone bank, and spread the word for Karen Bass! https://t.co/Q3AxbWuzmO"
1583961105700777985,2022-10-22 23:18:50+00:00,6,2,"Wonderful morning rallying in support of reproductive rights and my colleague Asssemblymember @wendycarrillo. We are 16 days away from Election Day, make sure you have a plan to get out and vote! 🗳️ https://t.co/Av0ZtuQeL9"
1581835885867196417,2022-10-17 02:33:58+00:00,11,1,Last night I had the opportunity to present Steve Kang with the 2022  @LADemocrats Pat Eastman Volunteer of the Year award and honor all our amazing Democrats. We are three weeks away from electing @KarenBassLA  as the next Mayor of Los Angeles. Let’s get it done! https://t.co/WI6azzYvnT
1575672010633449473,2022-09-30 02:20:56+00:00,7,0,"Thats great, thank you Sen Becker! https://t.co/oatMkAhH7y"
1573861849509949440,2022-09-25 02:28:00+00:00,64,10,"Rally in support of our next Mayor of LA, @KarenBassLA! https://t.co/qNHiY4LtxI"
1573628478229868544,2022-09-24 11:00:40+00:00,6,1,Congrats to @sengonzalez33 and the coalition of activists. SB972 will help Stop the racism against street vendors. https://t.co/MufURQUonN
1567389486757322755,2022-09-07 05:49:08+00:00,1,0,https://t.co/y67L2gQaqX - Millennials face biggest renter wage gap in L.A.
1566904650577498112,2022-09-05 21:42:35+00:00,13,0,Proud to stand with the @LALabor which works tirelessly to ensure workers have a voice on the job and our next Mayor @KarenBassLA who will be a strong voice for worker rights in LA. Que viva la unión! https://t.co/1phxYabuVt
1566606395599753216,2022-09-05 01:57:25+00:00,184,38,I am so proud that our President both supports and understands why AB2183 is important! https://t.co/wZyKgO6foR
1566213691833364480,2022-09-03 23:56:57+00:00,8,3,What an enormous loss. https://t.co/O3LkitLVCv - 'Nickel and Dimed' author and activist
1560414350094901248,2022-08-18 23:52:26+00:00,7,4,Democratic Gov. Newsom: sign the bill AB2183 https://t.co/HZwFTCgcWg
1560413562568261632,2022-08-18 23:49:19+00:00,3,1,IAFF GST Lima is one bad-a__ Chicano Union leader!! https://t.co/rSpfWHUm1U
1557885946816712704,2022-08-12 00:25:28+00:00,3,1,"I agree! I am also trying to include labor standards in to the $billions the state is spending on Climate budget—SB700, didn’t pass. https://t.co/Yt9vFNeaAy"
1552377119468007424,2022-07-27 19:35:21+00:00,5,1,So damn proud of my sister and her new position  as she fights for working families! https://t.co/WXsRZozwMy
1544761690322923522,2022-07-06 19:14:21+00:00,206,21,Proud to endorse @KarenBassLA to be the next mayor of Los Angeles! https://t.co/y8BjyMABkh
1542377583563591681,2022-06-30 05:20:46+00:00,29,12,"So proud of all activists and legislators for taking this step forward!  One more vote in senate then on to Gov. A sunset is not the end, it is only the beginning. https://t.co/4pumGQQCp5"
1533619722100412417,2022-06-06 01:20:09+00:00,4,3,"Teddy Kapur has the experience to get things done as City Attorney and the passion to make a difference for Angelenos. Please join me in voting for Democrat Teddy Kapur on or before this Tuesday, June 7! https://t.co/6AfL6k4ZNd"
1533493873309270017,2022-06-05 17:00:04+00:00,2,0,"Team Durazo getting out the vote this weekend for María Brenes for LA School Board District 2! 

We are in the final push before the June 7 primary - make sure you submit your ballots by Tuesday! https://t.co/gQuIi5blJy"
1524104148366462976,2022-05-10 19:08:40+00:00,77,12,Very proud to support @HugoForCD13 in his run for #CD13. https://t.co/hdDsQe3DnP
1520779122737225728,2022-05-01 14:56:12+00:00,4,1,What great May Day news!! https://t.co/FrWTsxsQ9p
1518172693425758208,2022-04-24 10:19:11+00:00,0,0,Shame on Starbucks https://t.co/tKI65l0S38 - Panic brews at Starbucks
1511336659966742543,2022-04-05 13:35:13+00:00,2,1,"Thats my girl, niece that is! https://t.co/ZbWsAYflTY"
1508747145704136704,2022-03-29 10:05:25+00:00,5,3,New bill seeks to help make paid family leave more affordable - CalMatters https://t.co/KLgdWT86nE
1508057160873246721,2022-03-27 12:23:40+00:00,8,1,I’m so proud i will be in attendance.  Thank you HOPE! https://t.co/2S2acdKveR
1501206736321060868,2022-03-08 14:42:31+00:00,3,2,The forgotten woman was born in what is now the western Ukraine.  https://t.co/U1FjxJRvK3
1497982234871009284,2022-02-27 17:09:30+00:00,180,27,Support Amy’s workers because of their courage. https://t.co/p81h66vBuK
1493971055471329281,2022-02-16 15:30:30+00:00,0,0,https://t.co/R8C2gtrlLT - Newsom's pick in line to be 1st Latina on state Supreme Court
1493827910116937729,2022-02-16 06:01:42+00:00,2,0,Governor Newsom Nominates Justice Patricia Guerrero to Serve as the Firs... https://t.co/iNd06wwRu6 via @YouTube
1493001744334295040,2022-02-13 23:18:49+00:00,3,0,"Today is all about the LA Rams. Led by one of the best coaches in the league Sean McVay, this team is ready to be Super Bowl Champs. With Stafford, Kupp, Donald and Jalen Ramsey, it’s our year! 

Who’s House? 

Rams’ House!"
1491880488205631501,2022-02-10 21:03:20+00:00,12,1,Thank you @WeAreCTA! Educators inspire our children to be the best they can be. I’m determined to continue working with our teachers to secure them the resources that they and our students need and deserve. https://t.co/aC1NY6nJfH
1489448495480115202,2022-02-04 03:59:28+00:00,29,2,"My team stood on the picket line this morning with the striking workers from Jon Donaire, who are entering their fourth month of their strike for better wages and working conditions. We must keep the momentum up until these workers get the compensation they deserve! https://t.co/uaAA9XZCYf"
1487975867984711680,2022-01-31 02:27:46+00:00,84,1,Let's go Rams!!! https://t.co/31sWkfU9Hf
1487794832357543942,2022-01-30 14:28:24+00:00,3,0,Congratulations!  How proud We are in Los Angeles! https://t.co/jNCYy6CvSK
1486749544557649921,2022-01-27 17:14:48+00:00,4,0,"He is an example of what a life of service looks like, and the legacy he created will continue to live on. May his family and loved ones find peace during these challenging times. (3/3)"
1486749535942504450,2022-01-27 17:14:46+00:00,2,0,"...representing East LA as a member of Congress, Esteban positively impacted everything he touched and left it better than he found it. (2/3)"
1486749526853443592,2022-01-27 17:14:44+00:00,16,2,"With Congressman Esteban Torres' passing, we have lost a giant. 

Throughout his life—born in Arizona as the son of migrant &amp; copper workers, leading in the labor movement with the @UAW, serving in the Carter Administration, and finally... (1/3) 
https://t.co/LFNCIsDQyQ"
1483581429225119747,2022-01-18 23:25:50+00:00,7,2,"I will be running in the new 26th Senate District, which contains much of the district I've represented since 2019, and now includes the additions of Los Feliz, Hollywood, Hancock Park and the City of Vernon."
1483493111133134849,2022-01-18 17:34:54+00:00,205,14,"Today I'm announcing that I'm running for reelection to the State Senate. 

I'm proud of what we've accomplished since taking office in 2019. But there is so much work left to do. 

I'm asking you to send me back to Sacramento to continue our fight for Californians most in need. https://t.co/4P1K8FARRr"
1476230894557929478,2021-12-29 16:37:26+00:00,16,7,And the next vacancy must also be Latino in order to reflect 40% CA Latinos. https://t.co/UVhtTcRiHn
1476230587794874370,2021-12-29 16:36:13+00:00,61,24,Op-Ed: Newsom can have a historic 'Sotomayor moment' by appointing a Latina to the state Supreme Court https://t.co/Fdh9FOqa2k
1473465366584049666,2021-12-22 01:28:13+00:00,30,13,"Congratulations to Kellogg's workers for ratifying your new contract! Unfortunately, Latina bakery workers have been on strike for 2 months. @AsmLisaCalderon, @wendycarrillo, &amp; I are raising money for their families. Please donate here: https://t.co/6hfo0nlzzZ"
1473002356455264256,2021-12-20 18:48:23+00:00,33,9,Representation matters! https://t.co/CHKxaYLQ0k
1471586535023603712,2021-12-16 21:02:25+00:00,10,1,Latina women should be first consideration! https://t.co/fwJm0YlESb
1470036627712266241,2021-12-12 14:23:38+00:00,9,0,Una leyenda. QEPD. https://t.co/12s0WLkn2F
1465710057119617028,2021-11-30 15:51:23+00:00,8,4,Amazon conduct is disgusting! https://t.co/JneysYnTLD - NLRB orders new Amazon union vote
1463631802870861826,2021-11-24 22:13:09+00:00,10,7,Piden al hotel Chateau Marmont que  recontrate a trabajadores despedidos a causa de la pandemia https://t.co/rKiYM9AmIU
1461353337882697736,2021-11-18 15:19:21+00:00,14,3,https://t.co/shDT7mQCYL - Perks escalate as employers hustle to please workers. Plz write about factory &amp; non remote jobs—they are not getting perks.
1448883935199432705,2021-10-15 05:30:23+00:00,8,0,Let’s go Dodgers!!! https://t.co/htSoIHVylB
1448393097386160128,2021-10-13 20:59:58+00:00,10,2,Thats right “working people are refusing to return to crappy jobs with low pay!” https://t.co/o9LmBmBCLP
1446926859275407362,2021-10-09 19:53:40+00:00,0,0,It’s time. Pres Reagan was last Pres to sign immigration reform. https://t.co/ZN4jpSqCOO
1446923660833423363,2021-10-09 19:40:57+00:00,0,0,"Of course, why not? https://t.co/jWSQeUAxCk"
1446915608000356352,2021-10-09 19:08:57+00:00,4,1,Musk:  give us back our CA tax dollars! https://t.co/Lt8jiKtFcE
1446847688255815695,2021-10-09 14:39:04+00:00,66,15,Musk should give back CA tax $.   https://t.co/ZAs67vwXFj - A blunt reaction to Tesla's Texas relocation plan
1446257759276601349,2021-10-07 23:34:54+00:00,46,3,We need our Democratic leaders in Washington to ignore the parliamentarian’s opinion and include a pathway to citizenship in the budget reconciliation. We simply cannot take no for an answer on this.
1446257758001528835,2021-10-07 23:34:54+00:00,38,2,More than 2 million Californians are at risk for deportation right now - they could be arrested without committing a crime and sent away hundreds of miles from their homes at any minute of the day.
1446257754729893889,2021-10-07 23:34:53+00:00,299,60,"As a citizen of this country, I am proud and privileged to be willing to get arrested in order to advocate for justice for our undocumented brothers and sisters, mothers and fathers, who are forced to live in fear everyday. https://t.co/9SMYXVsihr"
1446240662089715713,2021-10-07 22:26:58+00:00,73,4,"@GavinNewsom @MLB @SFGiants @Dodgers LA population of Californians=4 million;              SF population=875k
Just sayin…#Go Doyers!"
1446162871096778756,2021-10-07 17:17:51+00:00,123,23,We are taking to the streets to demand long overdue immigration reform and a pathway to citizenship for our nation’s undocumented people. Vice President Harris - ignore the Parliamentarian! #YEStoCitizenship https://t.co/yaOaeotfeB
1445542524920029185,2021-10-06 00:12:49+00:00,0,0,Thank you Asm Carrillo! https://t.co/7pcIW2Pu2t
1445511978315776006,2021-10-05 22:11:26+00:00,15,3,"Had a great time on the @kbla1580 Daily Deep Dive this morning with Dominique DiPrima, talking about the issues that are important to our communities! Thank you again @diprimaradio for having me on! https://t.co/sAdEi5X6Pr"
1443573023181705223,2021-09-30 13:46:43+00:00,8,3,https://t.co/QXibkGJntN - How Gov. Newsom disappointed farmworkers
1442691795339517953,2021-09-28 03:25:02+00:00,24,4,Gov. Newsom signs bill expanding protections for garment workers https://t.co/igy444qiEQ
1442641452589142017,2021-09-28 00:04:59+00:00,18,6,"Somebody can get jail time for taking a loaf of bread, why shouldn’t an Employer that steals wages?  TU Asm González! https://t.co/K6w56JieR9"
1442639907474739204,2021-09-27 23:58:51+00:00,11,1,Thank you Mr Speaker. https://t.co/1YbX9qMf5F
1442639369416835076,2021-09-27 23:56:43+00:00,2,0,"@NancySkinnerCA @SenMariaEDurazo @GavinNewsom Thank you CA Women’s Caucus  led by Asm Cristina Garcia and Sen Skinner, AND thank you to Pro Tem Atkins!"
1440983208598798336,2021-09-23 10:15:43+00:00,10,2,"Congratulations Asm González, Teamsters Union and LA Federation of Labor! https://t.co/NmzpHQ3nM7"
1440982711036825600,2021-09-23 10:13:45+00:00,105,19,Extremely disappointed. https://t.co/heBfOJddVV
1440821467105529866,2021-09-22 23:33:01+00:00,3,0,"Whatever it takes to upgrade our technology and keep us safe from blood-throwing, and threats. https://t.co/ySwyDIFON2"
1440135325062348806,2021-09-21 02:06:32+00:00,12,4,"Humbled to be included on this list of 7 women fighting to make the fashion industry more ethical &amp; sustainable!

But this movement for justice for garment workers would be nothing without the workers themselves, who lead and guide the fight for #SB62! https://t.co/BbbU1iM0Ry"
1437988607151644674,2021-09-15 03:56:15+00:00,4,0,"Governor Newsom has been an outstanding leader of our state during one of the most challenging periods in recent history, and the voters have shown that they believe in his leadership."
1437988606124064769,2021-09-15 03:56:14+00:00,15,4,"These results show California for what it is - a place that welcomes immigrants, that protects  its workforce, respects Latinos and rejects the hate and divisiveness that has been fostered by this recall movement."
