id,created_at,favorite_count,retweet_count,text
1588591914621800448,2022-11-04 18:00:01+00:00,0,0,"Interested in building a more equal workforce in the building and construction industry? A virtual information conference will be hosted on December 6 for the Equal Representation in Construction grant. #apprenticeship #equity 
For more details, visit https://t.co/WfgDJQkpXg"
1588576818482880513,2022-11-04 17:00:02+00:00,0,0,"ICYMI: What public health experts expect for COVID-19 in California this winter

https://t.co/N4lvEx2qTO"
1588569259709448193,2022-11-04 16:30:00+00:00,4,0,"Honored to have received the “Morning Star Award” last evening at the 50th anniversary dinner for the Native American Health Center in Oakland &amp; to attend the gala w/@RepBarbaraLee &amp; others.
Also proud to have secured $8M in #CaBudget funding for the center for affordable housing https://t.co/Y4HaL7eNiB"
1588559168310767617,2022-11-04 15:49:54+00:00,25,9,"The decision by @GavinNewsom to delay the next round of funding and call on cities/counties to take stronger action to reduce homelessness is necessary to achieve both accountability and what the #CALeg intended. 
CA has directed billions to house our unhoused. We can do better. https://t.co/UvLLMpnkgN"
1588237071960842240,2022-11-03 18:30:00+00:00,0,0,"Glaciers in Yosemite and Africa will disappear by 2050, U.N. warns

https://t.co/uxzNCe4Gdb"
1588229531327938560,2022-11-03 18:00:02+00:00,3,1,"Richmond awarded $35 million state grant for climate, environmental justice projects

https://t.co/LAC6ZsMFml"
1588221974685237248,2022-11-03 17:30:01+00:00,2,0,"Plastic bags are supposed to be recyclable in California. The attorney general suspects they are not

https://t.co/IMCJGORRJz"
1588215741215481856,2022-11-03 17:05:14+00:00,3,1,"Folks,

The Nov. 8 election is vitally important. But you don't have to wait until Tuesday to cast your ballot. You can vote by mail today or at one of the local voting centers.
And if you haven't yet registered to vote, don't worry it's not too late:
https://t.co/z5WJx073Bw https://t.co/fRMOOGwtD2"
1588206875073343488,2022-11-03 16:30:01+00:00,2,0,"Newsom rejects every local homeless plan in state, demanding more ambition

https://t.co/kQK4UoBpNJ"
1588199311489146880,2022-11-03 15:59:57+00:00,5,2,"ICYMI: Thousands of UC researchers, teaching assistants authorize strike across 10 campuses

https://t.co/Teza3aQ51i"
1587938814911127552,2022-11-02 22:44:50+00:00,3,0,"Folks,

ICYMI: Last evening's virtual town hall, COVID: What Now? featuring:
Dr. Erica Pan, state epidemiologist, and @Bob_Wachter, you can watch a recording of it here: 

https://t.co/4E28rYl0UD"
1587874682430263301,2022-11-02 18:30:00+00:00,1,0,"Canzano: Bill Walton is not happy with UCLA

https://t.co/j4q1A3DFga"
1587867135497236480,2022-11-02 18:00:00+00:00,1,0,"Universities can’t yank financial aid from students who get private scholarships, new law says

https://t.co/kPhpXfK4tw"
1587859582952480768,2022-11-02 17:30:00+00:00,5,1,"California launches site to track results of rape kits after police backlogs

https://t.co/tvu6Y6RHRC"
1587852037898772481,2022-11-02 17:00:01+00:00,2,1,"ICYMI: Suspect in Pelosi Attack Had Other Targets, Authorities Say

The man accused of breaking into the home of House Speaker Nancy Pelosi and assaulting her husband told the police that he also planned to confront other state and federal politicians.

https://t.co/FS91MbZZHe"
1587841441157378048,2022-11-02 16:17:54+00:00,0,0,"Climate change is rapidly accelerating in California, state report says

The state report paints a stark picture of California’s escalating climate crisis and documents wide-ranging effects on weather, water and residents.

https://t.co/QwELDW3szo"
1587614875894697984,2022-11-02 01:17:37+00:00,2,0,@SarahLerner @drk_wu It should be back now. Thanks for sticking with us.
1587608554822807553,2022-11-02 00:52:30+00:00,0,0,@JenniferLerner1 Hi. It's working now. Apologies for the technical issues.
1587608008892088320,2022-11-02 00:50:20+00:00,1,0,@drk_wu @SarahLerner Working now. Apologies for the technical issues.
1587607961496535042,2022-11-02 00:50:09+00:00,1,0,@RupertClayton Working now. Apologies for the technical issues.
1587607915036229632,2022-11-02 00:49:57+00:00,0,0,@SarahLerner @drk_wu Working now. Apologies for the technical issues.
1587607196111495168,2022-11-02 00:47:06+00:00,0,0,@pbuel @Bob_Wachter Should be working now. Apologies for the technical issues.
1587606840493293568,2022-11-02 00:45:41+00:00,0,0,@SarahLerner Yes. The livestream has had some technical difficulties. Apologies. Should be working now
1587603694404526081,2022-11-02 00:33:11+00:00,6,3,"Virtual town hall, COVID: What Now,"" starting now!
Watch here:
https://t.co/4E28rYl0UD https://t.co/cQvOZznEqs"
1587557595392245760,2022-11-01 21:30:00+00:00,1,1,"Folks,

The open enrollment period for health care coverage thru Covered CA is here! Having health insurance protects your wallet. If you ever have high medical bills, you’ll only pay a small portion, and your plan will pay the rest. #CoveredCA Enroll now: https://t.co/aR3Ej4ipAa"
1587547591188676608,2022-11-01 20:50:15+00:00,0,0,"Reminder,

This evening, Tues., 11/1, 5:30-6:30 pm, I'm hosting a virtual town hall, ""COVID: What Now?"" featuring these noted public health experts:
- Dr. Erica Pan, state epidemiologist, @CAPublicHealth 
- @Bob_Wachter chair, @UCSFDOM 

More info:
https://t.co/B5kV6wRR4j https://t.co/GI0Ip9ArLQ"
1587489652146987008,2022-11-01 17:00:01+00:00,5,3,"Oakland loan program helps homeowners convert illegal second units into ADUs

https://t.co/BvsDev3MAg"
1587483244215164928,2022-11-01 16:34:34+00:00,3,2,"Republicans Continue to Spread Baseless Claims About Pelosi Attack
Some of the conspiracy theories have already seeped into the Republican mainstream.
https://t.co/2Tx6TPYQU2"
1587139831930363904,2022-10-31 17:49:58+00:00,3,3,Proud to be strong partners with @CA_DIR &amp; @SenToniAtkins in expanding access for #women in the trades w/ #CaLeg #CaBudget investments. https://t.co/S2S7bREnUy
1587134810396495878,2022-10-31 17:30:00+00:00,3,3,"PSA: Reminder my virtual town hall, ""COVID: What Now?"", is tomorrow, Tuesday, Nov. 1, 5:30-6:30 p.m. with these public health experts:
-- Dr. Erica Pan, state epidemiologist
-- @Bob_Wachter, chair, UCSF Dept of Medicine

More info: 
https://t.co/inLxUqNRg4 https://t.co/DgMhZdWDN8"
1587127264617107457,2022-10-31 17:00:01+00:00,0,1,"Elon Musk takes Twitter exactly where we thought he would — into the sewer

https://t.co/2lBKxzbbHo"
1587120441113444352,2022-10-31 16:32:55+00:00,6,2,"State Pledges $3 Million To UC Berkeley's Latinx Research Center

https://t.co/PzHjbSKLf3"
1586115672534237185,2022-10-28 22:00:19+00:00,6,2,"Heart goes out to Paul Pelosi, @SpeakerPelosi &amp; family. Horrific assault.
The denial of election results, rejection of facts &amp; far-right conspiracies are inciting violence. It must STOP.
There can be no tolerance in our Democracy for such hate &amp; violence
https://t.co/wOU8uvnxxy"
1586062745098604544,2022-10-28 18:30:00+00:00,0,0,"Fed Seen Aggressively Hiking to 5%, Triggering Global Recession

https://t.co/W4MCv4v62W"
1586055197054246912,2022-10-28 18:00:01+00:00,1,0,"Why this one Bay Area street has a cluster of homes publicly named as ‘water hogs’

https://t.co/VtPT7oanp4"
1586047644283068416,2022-10-28 17:30:00+00:00,44,3,"Proud to be named a ""Housing Leader"" in this year's @cayimby
2022 Legislative Scorecard. We must build millions of new homes in CA, especially affordable housing, to address our housing crisis. 

https://t.co/GgZGDX5LDA"
1586040104581091329,2022-10-28 17:00:02+00:00,0,0,"Big Tech is failing to fight election lies, civil rights groups charge

https://t.co/N4ZOgloC1f"
1586031703859945472,2022-10-28 16:26:39+00:00,11,6,"ICYMI: Berkeley opens largest affordable housing development in city history
The project at 2012 Berkeley Way features 186 units of varying affordability, resources
https://t.co/U4BVTWg1ic"
1585789716460232704,2022-10-28 00:25:05+00:00,24,5,Honored to join w/ @JesseArreguin @KateHarrisonD4 @BRIDGEhousing &amp; many others to celebrate the opening of Berkeley's Hope Center Food &amp; Housing Project. More than 100 units of deeply affordable housing! Proud that @California_HCD @CalTreasurer helped fund it. Let's do lots more! https://t.co/MUMCwEy6Mf
1585677705961361409,2022-10-27 17:00:00+00:00,1,0,"U.S. Economy Grew 2.6% in Third Quarter, GDP Report Shows

https://t.co/Lh1ppTu57C"
