id,created_at,favorite_count,retweet_count,text
1588690254873362433,2022-11-05 00:30:47+00:00,4,0,Very happy to present a 75th SenResolution with @SenHenryStern to the WildlifeConservationBoard - environmental activism matters now more than ever @FoLARtweets @SierraClubCA @smr1218 @MRCAParks @envirovoters @BurbankBlue @SFVDems @lacountyparks https://t.co/HZsjFQ9BS0
1588688503743078400,2022-11-05 00:23:50+00:00,2,1,I had the honor of joining GaroPaylan &amp; distinguished panel at the #GlobalArmenianSummit to share perspective on CA Diaspora @ANCA_WR @ArmeniaFund @ArmenianStudies @AUAtweets @USCASA @agbugennext @Elen_Asatryan @ArdyKassakhian @armassembly_am @zsinanyan https://t.co/NjQeXToVDj
1588607898250522624,2022-11-04 19:03:32+00:00,1,0,The 11th Annual Glendale Health Festival is this weekend: Nov. 5th (9am-6pm) &amp; Nov. 6th (9am-2pm) at the Pacific Edison Community Center. Happy to support this great event. More info at https://t.co/kSkLW4HBkU or https://t.co/h5xBSgq4GC https://t.co/Az0mpR8MRC
1587295353153339392,2022-11-01 04:07:57+00:00,2,0,@archibaldcrane @AlexFischCC Who knew. What is the world coming too
1587293384296648704,2022-11-01 04:00:07+00:00,3,0,@AlexFischCC Me too. I ate two just sitting here
1587290106930483201,2022-11-01 03:47:06+00:00,44,1,Almost out of candy. Over 300 pieces.  #Burbank rocks it on #Holloween2022 we got to just hang out on the porch and enjoy. https://t.co/zioB3knSSt
1586563363873488898,2022-10-30 03:39:17+00:00,2,0,Must be my 25th or more year of Emceeing the wonderful @lcelions Halloween haunt costume contest. Cute and talented costumes. And the parents were in the mood too. @lcusdtechnology @LCUSD @LchsPtsa https://t.co/AZjphdiHM5
1586084865371385856,2022-10-28 19:57:54+00:00,8,4,Great celebration of Glenoaks Elementary state of the art classroom in the @GlendaleUSD @ArdyKassakhian @Elen_Asatryan @ShantSahakian @Vote_Nayiri https://t.co/3tbuMUdDEW
1586082102235189249,2022-10-28 19:46:55+00:00,7,1,Honored to attend Glendale Firefighter Awards yesterday. Appreciating our 1stResponders and excellent work they do protecting us @ArdyKassakhian @Elen_Asatryan @MyGlendale @GlendaleFireCA https://t.co/IfGuDhLGR0
1586052295824842752,2022-10-28 17:48:29+00:00,2,0,@TamalaTakahashi @AltadenaStreets @streetsforall @CalBike @ActiveSGV @WalkBikeBurbank @SafeStreetsLA I took both bikes to Burbank Bike Shop this morning and looking forward to a good ride after lunch.  2 flats fixed yeah. @WalkBikeBurbank @SafeStreetsLA @BurbankBlue @AltadenaStreets @streetsforall @AltadenaStreets @ActiveSGV @PasadenaCSC
