id,created_at,favorite_count,retweet_count,text
1587524080281874432,2022-11-01 19:16:50+00:00,2,0,"Excited to join @AsmLisaCalderon &amp; @PHHPA to announce $1.3 million in funding for #Firefighting, #RangerServices, #OutdoorEducation, &amp; #NaturalResourcesProtection to ensure #OpenSpace access for generations to come! https://t.co/4xbGjmv0fR https://t.co/O8EGpjSRK1"
1587211677254045696,2022-10-31 22:35:27+00:00,1,0,Wishing a safe #Halloween to all the families in #SD32 out there while #TrickorTreating tonight! https://t.co/g0VPbzMAbI https://t.co/BFzOaPwCNM
1584969846328299520,2022-10-25 18:07:13+00:00,1,0,"As chair of the Senate #MilitaryandVeteransAffairs Committee, I send my sincerest condolences to the family of Former Secretary of Defense Ash Carter upon learning of his passing. His service to #NationalSecurity will always be remembered.
https://t.co/klzKST6KwG"
1584695693305737216,2022-10-24 23:57:50+00:00,4,0,Wishing all who celebrate the #FestivalofLights today a very #HappyDiwali https://t.co/6sL3qYMqO1 https://t.co/FSV9aP3ylL
1582831772747763713,2022-10-19 20:31:16+00:00,0,0,Norwalk Breaks Ground on Sixty Unit Affordable Housing Facility for Veterans | Cerritos Community News. https://t.co/mncRpo0Res
1582521482743201793,2022-10-18 23:58:17+00:00,27,8,"As a #HydrogenEconomy, #HydrogenNow advocate, &amp; @HydrogenCa supporter, I enjoy seeing more #HydrogenFuelCell &amp; #FCEV vehicles in use! From freight @portoflongbeach to waste management @SacCountyCA, these @hyzonmotors #ZEV trucks #ReduceEmissions &amp; help #CA meet its #ClimateGoals https://t.co/vIxG74mdcC"
1579610783050522624,2022-10-10 23:12:13+00:00,1,0,On #IndigenousPeoplesDay we pay our respect by celebrating the history &amp; contributions of Indigenous peoples to #California &amp; our nation. https://t.co/GGHoQ48ONH https://t.co/QPR9OTlWYE. https://t.co/BBXhkFf7PN
1579600580364107776,2022-10-10 22:31:40+00:00,7,1,"Ty @portoflongbeach for hosting #ARCHES #HydrogenHub event. #CALeg is committed to #HydrogenNow, using #RenewableHyrdogen to #Decarbonise heavy industries, #ReduceEmissions, meet #ClimateGoals w. #UnionStrong jobs in a #HydrogenEconomy. #FuelCell #FCEV #CleanHydrogen #H2Now https://t.co/oNoT31i7e3"
1578482110494494720,2022-10-07 20:27:16+00:00,2,0,"#ManufacturingDay celebrates the US' skilled workforce &amp; evolving technology, which is diverse, &amp; globally connected through the logistics &amp; industries that call the #GatewayCities home #MFGDay22 https://t.co/1mCDrKM3DR https://t.co/BhyaHlXo2F"
1578221936684937216,2022-10-07 03:13:26+00:00,1,0,"By modifying income calculations to exclude housing allowance, #SB950 will improve CalFresh eligibility, respond to #MilitaryHunger &amp; help our active duty servicemembers put food on their tables https://t.co/vodMyazqwy https://t.co/k7moqqB9Vy"
