id,created_at,favorite_count,retweet_count,text
1588692002530816001,2022-11-05 00:37:44+00:00,1,1,"Got plans this weekend? Go vote! 🇺🇸


Make a plan to vote by Tuesday, November 8th by mail or in-person. 

If you've already voted, you can track your ballot here: https://t.co/jeulkKhJtI https://t.co/OJ5KYnCl9Z"
1587504043991048192,2022-11-01 17:57:13+00:00,6,1,"Today, the CA Commission on the Status of Women and Girls announces the Blueprint for Women’s Pandemic Economic Recovery. 

This first of its kind research centers on the needs of women as critical to the state’s recovery from the pandemic. 

#WomenAreEssential"
1586048841857437696,2022-10-28 17:34:45+00:00,1,0,"The bill will help address resource gaps for survivors, unaccompanied women, and other vulnerable populations. Thanks to my sponsors for all of their incredible work. #DomesticViolenceAwarenessMonth"
1586048838992732160,2022-10-28 17:34:45+00:00,12,4,"Proud to stand with #domesticviolence advocates doing the real work of protecting our communities and helping vulnerable populations experiencing homelessness.  @DWCweb @cpedvcoalition @RainbowServ_DV. We celebrated the passage of #SB914, the HELP Act. 1/2 https://t.co/gkPpP7GrDN"
1583689490832318464,2022-10-22 05:19:32+00:00,14,5,#DomesticViolenceAwareness https://t.co/LnZ0DuHopY
1583216386007932928,2022-10-20 21:59:35+00:00,6,1,"Today is #spiritday2022, a day to stand up to bullying and increase acceptance of LGBTQ youth. Every child should feel safe at school. 💜 https://t.co/xIS9MuWJqZ"
1582823944033165312,2022-10-19 20:00:10+00:00,1,1,"Tomorrow is the LAST DAY to sign up for my free, annual youth seminar on leadership this Saturday, 10/22!

🌟 VIP Guests
🌟 Giveaways
🌟 Free Breakfast &amp; Lunch
🌟 Check with your school for extra credit.
🌟 AND MORE!

Join us here: https://t.co/trUO4gCMUQ https://t.co/P3hehnC59e"
1582445944271798272,2022-10-18 18:58:08+00:00,4,1,"‼️The federal student loan application is here!‼️

It only takes 5 minutes for up to $20,000 in debt relief for hard-working students and families. 

Apply today:
https://t.co/vyOB58fggq"
1580685857106800640,2022-10-13 22:24:10+00:00,4,1,"9 DAYS LEFT to sign up for my free, annual youth seminar on leadership! 

🌟 VIP Guests
🌟 Giveaways
🌟 Free Breakfast &amp; Lunch
🌟 Check with your school for extra credit.
🌟 AND MORE!


Join us here: https://t.co/6s1RO7aOQG https://t.co/sSnsfnH5ap"
1580618858947190784,2022-10-13 17:57:57+00:00,4,0,"Happy 247th Birthday to the @USNavy! 

Thank you to our men and women who have served, past and present, around the globe for all you do to keep us safe. https://t.co/ndQu0DXS4H"
1579997078675070976,2022-10-12 00:47:13+00:00,11,3,"My statement on the recording released this weekend of audio of Los Angeles leaders.

For more context: https://t.co/4yl5m6qbvN https://t.co/V6b0AF2leJ"
1579598599914409985,2022-10-10 22:23:48+00:00,14,8,"Happy National #IndigenousPeoplesDay2022!

Today, we honor and celebrate the diversity and history of indigenous peoples across California and the country. https://t.co/ciDHP092C3"
1575573478060699654,2022-09-29 19:49:24+00:00,7,1,Thank you @RepBarragan for your support of survivors! #domesticviolence https://t.co/WwajDyjpNj
1575242762860916738,2022-09-28 21:55:15+00:00,17,7,"Ending the homeless crisis means focusing on all unique populations who have been neglected. Thanks to the governor for signing #SB914, which will help address gaps, and sponsors @DWCweb, @cpedvcoalition, @RainbowServ_DV for their incredible work. https://t.co/mfcT4RjNK8"
1574521059121893376,2022-09-26 22:07:28+00:00,2,1,"As chair of Senate Insurance, my top priority is consumer protections. Proud to work with @ICRicardoLara to make it easier for victims to get back money from insurance scams. @CDInews #restitution https://t.co/a6dnAn22xC"
1574485638199451648,2022-09-26 19:46:43+00:00,6,1,"My statement on the veto of #SB70, #mandatorykindergarten. I'm disappointed but will not give up. @LASchools #education https://t.co/BGXi1uLLxP"
1572266924784119812,2022-09-20 16:50:20+00:00,2,2,Happy #NationalVoterRegistrationDay! Voting is your super power. Use it well. It’s never been easier or as secure as it is today. Check your registration status at https://t.co/AMUnWwIHRY https://t.co/lCZ6mDtfJ8
1570853047508799489,2022-09-16 19:12:06+00:00,11,2,"What an amazing night at the Farmworker Justice Award ceremony. Brought together supporters of our amazing farmworkers. As a daughter of a Bracero farmworker, I thank you all. 
@UFWupdates #daughterofbracero https://t.co/dFSNapKDSU"
1570829544134938625,2022-09-16 17:38:42+00:00,5,1,¡Feliz día de la independencia! ¡Viva México! 🇲🇽 https://t.co/Q92RPc1AZe
1569740176024547328,2022-09-13 17:29:56+00:00,3,3,Kindergarten allows children to develop fundamental skills before entering 1st grade. My bill #SB70 will make it mandatory while giving parents options. #education @LASchools  https://t.co/YUuhTTfIf5
1569400063545479168,2022-09-12 18:58:27+00:00,2,1,"I hear stories like this from my teacher friends often Teaching has never been easy, it's a calling. But large class size, stagnant pay, lack of support for teacher candidates are worsening the situation beyond the breaking point. #education https://t.co/HyM4LPuPkX via @ABC10"
