id,created_at,favorite_count,retweet_count,text
1588561709425258499,2022-11-04 16:00:00+00:00,2,0,"Did you know that in the US, families are the primary source of support for older adults and people with disabilities? 

This year's theme encourages caregivers to explore their passions and interests! #CaregiverAnd #NFCMonth #Caregivers https://t.co/OQvx5dynRi"
1587466209066295296,2022-11-01 15:26:52+00:00,2,0,"People are making money off of less water availability, and that’s hurting real people — real farmers and real communities.

It’s why, last week, I renewed my call to the US DOJ to investigate drought profiteering and market manipulation. https://t.co/U1oTO8eD10"
1587112158386454528,2022-10-31 16:00:00+00:00,4,1,"Wishing you a night full of frights and a bag full of delights, #SD14! 🎃🤖🧌🐈‍⬛

Be safe, and enjoy the yummy treats!🍭👻 https://t.co/W49Or0LCOT"
1586145728757256195,2022-10-28 23:59:45+00:00,1,0,"Do you like #Halloween? Are you looking for somewhere to take the kids to get #candy?

If so, say hi to #TeamSD14 at the #McFarland #TrunkorTreat (McFarland Police Department) or at the #Avenal #TrunkorTreat (Avenal Vet Center.) 

See you there (look for the red table!) https://t.co/Vb9dhZurZk"
1586025009272717313,2022-10-28 16:00:03+00:00,12,1,"Today on #NationalFirstRespondersDay, I'd like to say thank you to all of the brave First Responders here in the Central Valley, across California and throughout the US for keeping us safe! 

Your sacrifice and dedication does not go unnoticed! 

#SD14 #ValleyStrong https://t.co/cTcOndtZfp"
1585783406381645824,2022-10-28 00:00:01+00:00,2,0,"Come join #TeamSD14 tonight, say howdy and show us your ""eerie-sistible"" costumes at #BooAndBoots in #Delano! 🎃🍫🍭

#SD14 #Halloween https://t.co/nocXPcf7ow"
1585768449522905090,2022-10-27 23:00:35+00:00,4,0,"Keeping people and our communities safe is essential for a healthy democracy, and this $6 million investment in Shafter will help build a strong foundation of community safety for generations to come! #SD14 #caleg #CentralValley

➡️https://t.co/I0aS4MZdSd https://t.co/2VGhlXQuUg"
1585405082996076545,2022-10-26 22:56:41+00:00,3,0,"The stakes surrounding water are high, for all Americans, because farmers and farmworkers feed us. https://t.co/6gWbsXRnFl"
1585394815814242304,2022-10-26 22:15:53+00:00,2,1,"Today, I spoke at the #FarmersProtest against increasing water expenses. 

This is more than just a water problem--it's also a data manipulation problem--one that people may be profiting from!

https://t.co/A6hPOuR3KC"
1585322852047237121,2022-10-26 17:29:56+00:00,4,1,There is a great turn out today at the #FarmersProtest! https://t.co/9IgNMtQ0XZ
1585039270288691201,2022-10-25 22:43:05+00:00,1,0,"Come join #TeamSD14 tonight for Lemoore National Night Out! 

They’ll be at Heritage Park from 4pm to 6pm. #NNO #SD14 https://t.co/IBTn7gPQhw"
1585013611478802432,2022-10-25 21:01:07+00:00,2,0,"Today, I was thrilled to present a $7 million investment to Farmersville for their fire department!  

I’m thankful to the public servants of this community who remain committed to keeping our communities safe!

➡️ https://t.co/oeXZJfUWqw https://t.co/qQLFm5mOFE"
1584960483387285504,2022-10-25 17:30:01+00:00,2,0,"I am looking forward to joining #CentralValley Farmers tomorrow morning, as they march and protest water rate increases!
https://t.co/PmmxEWUrNF"
1584937842924404736,2022-10-25 16:00:03+00:00,0,0,"Today is #LarryItliongDay, which honors the trailblazing Filipino-American Labor Leader Larry Itliong! He helped spearhead the Delano grape strike alongside Cesar Chavez and Delores Huerta, and is a monumental leader in Central Valley History. 

https://t.co/BUCB8MlqSa"
1584575450562568192,2022-10-24 16:00:02+00:00,2,1,"#TeamSD14 and I want to wish all who celebrate, a Diwali that brings happiness, prosperity and joy to you and your family! 

#Diwali is a “festival of lights” celebrating the triumph of light over dark and good over evil. #SD14 https://t.co/HeYAVYxUps"
1583591512998223872,2022-10-21 22:50:13+00:00,2,2,"No bones about it, join us for some skele-fun, and stop by the “pet cemetery” hosted by #TeamSD14 for Corcoran’s #TrunkorTreat! 🍬 🎃 

We’ll be there from 5:30pm-8:00pm!   🦴 https://t.co/zHZy5xBFu1"
1583568381948485633,2022-10-21 21:18:18+00:00,1,0,⬇️⬇️⬇️⬇️ https://t.co/IeXHQ3ref8
1583546247847084032,2022-10-21 19:50:21+00:00,18,3,"Right on! The students at Arvin High School have joined together to support a fellow student who experienced bullying. 

It’s great seeing young people use their voice to lift each other up! #SD14 https://t.co/G3LenkU006"
1583525333839405057,2022-10-21 18:27:14+00:00,1,0,"Our first responders and the City of Lindsay deserve better than what they’ve had to work with, and I’m happy I was able to deliver for them.

For more ⬇️⬇️

https://t.co/qJkvy6O40f"
1583525332484706304,2022-10-21 18:27:14+00:00,2,0,"Yesterday was an emotional day for the City of Lindsay and I, as we celebrated the much needed funding I worked to secure that will help save lives by allowing the hiring of more officers, and helps relieve the strain of an already stressful job."
1583525329531850753,2022-10-21 18:27:13+00:00,4,1,Adriana Nave has been a police officer with Lindsay since February of 2009 and was certified as a Lindsay Firefighter in January of 2010. She is one of six cross trained police officers who still actively provide fire suppression services when needed. https://t.co/6OOu9PPJmk
1582401129253523458,2022-10-18 16:00:03+00:00,5,1,"Today marks 50 years since the #CleanWaterAct was signed into law! 

The (CWA) established the structure to regulate pollution in US waters. It also regulated standards for surface water. We need clean water to live, and enjoy the great outdoors! 💧 https://t.co/uUR6oBSHC4"
1581676342566797312,2022-10-16 16:00:00+00:00,8,3,"The 2022 #WorldFoodDay theme is ""No One Left Behind.""  In CA, we've fought #foodinsecurity by expanding food assistance to seniors--regardless of their immigration status, with a $40M investment in #Food4All. 

There's more to do to ensure California becomes a #Food4All State. https://t.co/mHHV9Nlfid"
1581052493357719553,2022-10-14 22:41:03+00:00,2,0,"#WorldFoodDay is just around the corner, and I'm proud to celebrate this essential investment in our food system. 

This $100 million will fund critical repairs to California’s water conveyance canals!
https://t.co/PiWLZtEQT6"
1580976214516211713,2022-10-14 17:37:57+00:00,9,1,Happening now: Senator Hurtado presents $100 million to repair the state water canals! https://t.co/S7fRJOIc92
1580630352321601537,2022-10-13 18:43:37+00:00,1,0,"#TeamSD14 was happy to attend the dedication of the Woman’s Club of Bakersfield historic building today! 

The building was built in 1921, and the Woman’s Club was established in 1896! #Bakersfield #SD14 https://t.co/wPbpAt2myl"
1580596038720573440,2022-10-13 16:27:16+00:00,2,0,"Happy National Farmer’s Day! Thank you Farmers, for your hard work and dedication, and for growing our food!! 

#SD14 #farmers #food https://t.co/eXs4tcxirh"
1580595362380644354,2022-10-13 16:24:35+00:00,2,1,"All who work within city hall, including the fire/police department, just go above and beyond and you deserve a lot more. 

This is a step in the right direction to finally provide the city with the resources that they need to make this community a safe place to live. https://t.co/9V4vDg7M3Y"
1580589183617273857,2022-10-13 16:00:01+00:00,4,1,"#DYK the National School Lunch Program serves nearly 30 million children every school day in cafeterias, classrooms and, when necessary, even at home?

School lunch is for ALL students! #NSLW22 #SchoolMealsForAll  #SD14 @nokidhungryca @cdenutrition @schoolunch @californiasna https://t.co/1BCZE2PYfS"
1580335589731160065,2022-10-12 23:12:20+00:00,4,0,"I was honored last night to receive a proclamation from the City of Lindsay. 

I secured $2M in this years budget to update the City’s Fire Department &amp;  equipment. This equipment will keep firefighters safe, and will also allow the department to better serve the community. #SD14 https://t.co/QOuviHTGm6"
1580317761376382977,2022-10-12 22:01:29+00:00,10,1,"ICYMI: Yesterday I was in Porterville, to present a $10 million check for a new Emergency Operations Center!

This EOC will serve as a regional support for south-eastern Tulare County. 

It will also include a memorial garden to honor Fire Captain Figueroa and Firefighter Jones. https://t.co/psc2B4Tn7D"
1579997588870160385,2022-10-12 00:49:14+00:00,1,0,"Come and say hi to #TeamSD14 at National Night out in Hanford! 

We'll be at the Civic Park from 6-8pm. #SD14 #NNO2022 https://t.co/ICIcyLxnp5"
1579576639595622400,2022-10-10 20:56:32+00:00,5,2,"The Valley has already experienced towns running dry-- which is why now more than ever we must repair CA's broken water infrastructure. 

I secured $200M this session to repair our leaky  canals, but that's a drop in the bucket of what's needed. #SD14 https://t.co/j87k5jOiyo"
1579517081741332481,2022-10-10 16:59:52+00:00,2,0,"Hey #Hanford, come join #TeamSD14 at National Night out tomorrow! We'll be at the Civic Park from 6-8pm. #SD14 #NNO2022 https://t.co/t8QUO3mHWX"
1579502026601267200,2022-10-10 16:00:03+00:00,2,1,"On #IndigenousPeoplesDay, we honor the past, present, and futures of Indigenous Peoples across the the US. 

Today is also a great day to recognize and celebrate the cultures, contributions, and resilience of contemporary Indigenous Peoples here in California. #SD14 https://t.co/qSL3b4zD5X"
1578507213726830592,2022-10-07 22:07:01+00:00,2,0,"I’ve been talking about water security for the #CentralValley &amp; some of the other challenges we face such as securing farmland from being purchased by foreign governments. Tonight, I’m attending the premiere of “The Grab” which explores foreign control of our resources further. https://t.co/aZyVSefFnd"
1578503750565564416,2022-10-07 21:53:15+00:00,1,0,"The problem is that farmworkers need support now.. actually they needed it yesterday, and we are failing farmworkers again.

#SB1066 https://t.co/ad00Csl7jj"
1578414851466047488,2022-10-07 16:00:00+00:00,3,0,"#LGBTQHistoryMonth is celebrated in October to commemorate the anniversary of the first march on Washington for gay and lesbian rights! 

We recognize LGBTQ History Month to highlight and celebrate the history and achievements of lesbian, gay, bisexual and transgender people. https://t.co/L6RuoDxd5o"
