id,created_at,favorite_count,retweet_count,text
1588574987421880320,2022-11-04 16:52:45+00:00,4,4,@chiqshoes Thank you for the kind words!
1588574064368816128,2022-11-04 16:49:05+00:00,30,1,"Today would have been my mother's 98th birthday. She left us in June 2021, peacefully, with her family by her side. Bunny was a terrific dancer, homemaker, and person— she was known for the near-instant affection she could provide and garner from people. She was kind to everyone. https://t.co/eONVHiKRdX"
1588210311902810112,2022-11-03 16:43:40+00:00,11,1,"We have seen shocking acts of antisemitism in LA and nationwide. 

I’m proud of my Jewish heritage and the diverse Jewish communities across our county. https://t.co/Xn75mDrcoi"
1587881772318044160,2022-11-02 18:58:10+00:00,21,5,"I am honored to have the support of @ANCA_WR in this race!

Armenian Americans have a rich history in Los Angeles. I look forward to continuing our partnership throughout the county and am committed to the issues that are important to their community. https://t.co/NaPLg1HmqJ"
1587870626655584257,2022-11-02 18:13:53+00:00,2,0,"#GOTV this weekend! Join us for our last weekend before Election Day! 

We have 2️⃣ rallies in the 3rd district: 

📍San Fernando, Sat. 11/5 10am-4pm
📍Santa Monica, Sun. 11/6 10am 

Email info@hertzbergforsupervisor.com to RSVP!"
1587831490473119744,2022-11-02 15:38:22+00:00,10,1,"#OnWednesdaysWeWearPink to the voting booth! 🙌🗳️ 6 days left, friends! https://t.co/TOAZf8BTVM"
1587617703631519744,2022-11-02 01:28:51+00:00,5,1,"Gun violence is an epidemic.

I wrote a bill signed by Gov. Newsom in July, that allows Californians to sue sellers of AK-47s and ghost guns. 

https://t.co/eeLl2HsGoD"
1587502875940225024,2022-11-01 17:52:34+00:00,7,2,"Read more about my plans for homelessness in LA County here:

https://t.co/BrPjzYggdf"
1587502874161840128,2022-11-01 17:52:34+00:00,17,4,"Our homelessness crisis is at a breaking point. 

LA County has problems with implementation and responsibility— not a lack of resources. 

Through county-wide collaboration, we can create solutions that get folks off the streets.

I will own that responsibility as #Supervisor."
1587475891302543361,2022-11-01 16:05:21+00:00,1,0,"CC: @local1014 

Read more on @TheMalibuTimes: 
https://t.co/fWV6rjQ7mA"
1587475889670959106,2022-11-01 16:05:20+00:00,10,2,"Our mountain communities deserve to feel safe in their homes, knowing the county is doing everything it can for fire prevention. 

I have real experience combatting fire at the state-level—it’s why all local firefighting and public safety orgs support our campaign for Supervisor."
1587290023287672832,2022-11-01 03:46:46+00:00,8,0,Happy Halloween from the Hertzbergs! 👻 We had a great time with our neighbors tonight— hope everyone had a fun &amp; safe holiday! 🎃 https://t.co/SM9xalC5qh
1587212397579628545,2022-10-31 22:38:19+00:00,10,2,"As Supervisor, I will protect abortion rights and prioritize reproductive health. 

In fact, @ProChoiceCA named me one of their Senate reproductive freedom champions! https://t.co/MopwNspVlj"
1587183523676332032,2022-10-31 20:43:35+00:00,16,1,"“Bob and I worked together to pass some of the nation’s strongest gun safety laws. He’s led on environmental protection, abortion rights, and housing for the homeless. I can’t think of anyone more prepared to serve LA County than Bob Hertzberg.” 

-Gov. @GavinNewsom https://t.co/HGkYjSIN76"
1587166436933263361,2022-10-31 19:35:41+00:00,10,5,"Hear directly from Gov. @GavinNewsom on why he backs me in this race.👇

8 days left to cast your vote! 🗳️

https://t.co/J5gtzjCAdU"
1586894450835755009,2022-10-31 01:34:54+00:00,4,0,"My heart goes out to the people of South Korea. 

I am praying for the recovery of those injured, and morn with the families who lost loved ones in this senseless tragedy.

https://t.co/uiW6MFvJjK"
1586884791013556226,2022-10-31 00:56:31+00:00,17,3,"Spent the weekend with my friends and supporters across the district! 👏 I appreciate them opening their homes for our meet &amp; greets. 

9 days until the election! 🗳️ https://t.co/CTcpwhtsps"
1586142694392311808,2022-10-28 23:47:42+00:00,14,3,"Proud to have a 94% lifetime scorecard from CA Environmental Voters! 

Los Angeles needs leaders with a record of results on climate. https://t.co/qnYWUJ5OOZ"
1585727556220690433,2022-10-27 20:18:05+00:00,27,10,"Thank you for your support, @GwynethPaltrow! 

Female business leaders for Bob!

#HertzbergforSupervisor https://t.co/S9OKzGsrqY"
1585330125867917313,2022-10-26 17:58:50+00:00,13,0,#OnWednesdaysWeWearPink! 🤙 https://t.co/vENJ2dSM7Z
1585038012962189313,2022-10-25 22:38:05+00:00,10,8,"LA has been hit by a wave of antisemitism this week— these attacks must be condemned and called out by all Angelenos. 

We must act now to combat these blatant displays of hatred both in LA and nationwide. 

https://t.co/8CbBD7Iqsi"
1584628534726664192,2022-10-24 19:30:58+00:00,14,4,"An important message for LA voters— 

There is only ONE lifelong Democrat in the race for Supervisor. 

Learn more at https://t.co/D2iCp5U3zu https://t.co/R4LeB9YL2x"
1584576966509723648,2022-10-24 16:06:03+00:00,2,1,Wishing a beautiful Diwali full of light and joy to all who celebrate! 🪔✨ https://t.co/HbtNsaeN2b
1584416507357847552,2022-10-24 05:28:27+00:00,6,2,Athena’s also! https://t.co/lKUUiRfk3C
1584416496104587269,2022-10-24 05:28:24+00:00,5,2,"Robert Maynard Hutchins said “The death of democracy is not likely to come by assassination or ambush. It will be a slow extinction from indifference, ignorance, and apathy.” Organizations like @OneLa_IAF are the antidote to this. It was my pleasure to attend their forum today."
1584383382116368384,2022-10-24 03:16:49+00:00,23,5,A great day at Hermosa Beach Pier celebrating the passage of #SB54 and the start of a plastics-free future! https://t.co/8N7QgUMDqS
1584267374819057664,2022-10-23 19:35:51+00:00,13,6,"This horrific antisemitism in our community must be condemned and called out!

Antisemitism is on the rise in LA and across the country. 

We must act now to combat these attacks and ensure every Angeleno feels safe in their community.

Hate has no place here. https://t.co/ELcG7aRgrl"
1584024811130433536,2022-10-23 03:31:59+00:00,5,1,"Had a wonderfully busy day around the district! 🏃

We went from the Encino Public Safety Fair to the Granada Hills Street Fair to NEXT NIGHT Street Festival in Beverly Hills! https://t.co/QpYqhAVjiC"
1583194722406830080,2022-10-20 20:33:30+00:00,8,1,"Grateful for the support of Angela Cutbill, Las Virgenes Unified School District Board of Education Member!

#HertzbergforSupervisor https://t.co/E2sTvQdTWY"
1582785662352097280,2022-10-19 17:28:03+00:00,33,3,"I am the only candidate in this race who has received a 100% legislative scorecard from Planned Parenthood Affiliates of California. 

I will always stand up for abortion rights and reproductive health as your supervisor. https://t.co/TsuuoyT3dc"
1582102601331417089,2022-10-17 20:13:48+00:00,6,1,".@lananegretesm and I reminding you to VOTE! Your voice matters. 🙌

✅Make sure you're registered before the October 24th deadline.

🗳️You can vote in person early, by mail, or on November 8th! https://t.co/nusToaiok6"
1580929699588423687,2022-10-14 14:33:07+00:00,169,49,"BIG news this morning! 

Gov. @GavinNewsom has endorsed our campaign for Supervisor and is starring in our first TV ad for the general election.

 Hear why he backs me in this race: https://t.co/J5gtzjCAdU"
1580358580007424002,2022-10-13 00:43:41+00:00,12,3,"I sat down with Beverly Hills Weekly to discuss my plans to make county government more accountable to the people. 

I will always show up for the residents of LA County. 

https://t.co/1JBCW0FDlx https://t.co/nUVbvCXh4o"
1580261042910744577,2022-10-12 18:16:07+00:00,9,2,"Thank you @AGRobBonta for taking this decisive step. 

We need a thorough investigation of the city redistricting process in Los Angeles. I have long supported independent redistricting commissions— we need that at every level of government. https://t.co/r0tbbot1P0"
1579975376620900352,2022-10-11 23:20:58+00:00,9,1,"Spent Sunday out and about around West Hollywood-- I had the pleasure of meeting with constituents, spending time with Mayor Meister, and even attending Drag Brunch at Hamburger Mary's!

https://t.co/H5YpmmmHfY https://t.co/zPTVdlyAdQ"
1579666550239662080,2022-10-11 02:53:49+00:00,15,1,"As I said yesterday, the horrible  comments that surfaced yesterday have no place in LA County or in our body politic. LA is at its best when our leaders work together, across all our differences, for the betterment of all our communities. Let’s create the space for healing."
1579666548696174592,2022-10-11 02:53:48+00:00,85,14,"LA residents continue to grieve after the racist &amp; hateful comments made by top elected officials. 

After talking to leaders across LA, I count myself with Sen. Padilla, Rep. Cardenas, Asm. Rivas &amp; those asking for them to step aside. They have lost the confidence of Angelenos. https://t.co/FQK8TpBXMd"
1579258589230682112,2022-10-09 23:52:43+00:00,29,9,"Racist and homophobic comments like the ones that surfaced today have no place in LA County or in our body politic. 

My statement: https://t.co/mwrOBEx7cE"
