id,created_at,favorite_count,retweet_count,text
1588546728667795459,2022-11-04 15:00:28+00:00,3,0,"…around the clock serving the needs of evacuated residents.

Big thanks to the Trinity Alps School Board and Superintendent Green for the partnership."
1588546487654699008,2022-11-04 14:59:31+00:00,12,0,"Trinity County has been hit hard by wildfires and extreme snow events.

And, they’re in desperate need of a 24/7 emergency evacuation center.

$700,000 has been secured to purchase two massive generators to keep Trinity High School and Weaverville Elementary operational… https://t.co/jGvWeAuwia"
1588151122069315584,2022-11-03 12:48:28+00:00,6,2,"There’s a lot at stake in this upcoming election. Get Out To Vote!

Mail your ballot, just make sure it’s postmarked by Election Day Tuesday, Nov 8.

Drop-off your ballot at an official ballot drop-off box.

Find an Official Ballot Drop-Off Location Here: https://t.co/kXrWb811vr https://t.co/suScHOc8ww"
1588138237729480711,2022-11-03 11:57:16+00:00,9,1,"Willow Creek has been hit hard by wildfire.

Really good conversation with the Lower Trinity Prescribed Burn Association and the Humboldt Resource Conservation District about the need for more fire prevention projects and how we can work together in the months to come. https://t.co/yyKETz3rRl"
1587838004726407169,2022-11-02 16:04:15+00:00,14,2,A light dusting of snow remains above Highway 299. Beautifully crisp morning heading to Trinity County! https://t.co/Zd71AXf5M6
1587811312691597313,2022-11-02 14:18:11+00:00,3,1,"The Humboldt Holiday Food Drive - benefitting @FoodforPeople - is coming soon!

Great to get together with student leaders from six Humboldt high schools to talk about the food drive and check out Food for People’s new distribution warehouse and community store opening in January https://t.co/sSgSfiHXko"
1587628976435908608,2022-11-02 02:13:39+00:00,5,0,"…leaders of tomorrow.

This new 30,000 square foot facility will be the most modern healthcare learning lab between the Golden Gate Bridge and the Oregon border and will train thousands of healthcare professionals, from multiple career tracks, in the years to come."
1587628195850772480,2022-11-02 02:10:33+00:00,13,3,"We’re making the North Coast’s healthcare system stronger with a $10 million investment in a new Healthcare Education Hub.

The Hub, in partnership with @humboldtcalpoly &amp; @redwoodstweets, will be the epicenter for training the healthcare workforce and…

https://t.co/yWX3CSaqNL"
1587512311865958400,2022-11-01 18:30:04+00:00,4,0,"Big congrats to Michael Green! 

He’s been appointed to fill the open seat on the Lake County Board of Supervisors. Michael is a natural to take over the responsibilities of being a county supervisor.

Thank you to Tina Scott, now retired, for her years of service to the County!"
1587448964684472322,2022-11-01 14:18:21+00:00,23,0,We’re up and on the move. Humboldt or bust! https://t.co/8jsvpG8zjN
