id,created_at,favorite_count,retweet_count,text
1588621823943802880,2022-11-04 19:58:52+00:00,0,0,@terronk *a problem
1588621268651507713,2022-11-04 19:56:40+00:00,4,0,@terronk Perhaps read my tweet and statement again. At no point did I say anything about the WARN Act. I simply criticized Musk. I have no problem being criticized for anything I say or do. I do have an problem with people attributing statements to me that I didn’t make.
1588616003982077953,2022-11-04 19:35:45+00:00,32,10,"Antisemitic threats &amp; violence have escalated so significantly that the California Office of Emergency Services felt it necessary to send this open letter to the California Jewish community about our community’s safety.

Thank you @Cal_OES. https://t.co/Stp3nkZUIO"
1588604519713501184,2022-11-04 18:50:07+00:00,288,34,"When you make the buses faster, more people ride them. It’s that simple.

We need a dramatic expansion of rapid bus service in San Francisco &amp; beyond. https://t.co/iLHpSxV5wH"
1588561500691914752,2022-11-04 15:59:10+00:00,8,1,"As Kanye says he wants to kill Jews &amp; Elon gleefully welcomes him back to Twitter, antisemitic attacks continue to rise.

Just in recent weeks, we’ve seen threats against &amp; attacks on synagogues + various antisemitic banners.

Words have consequences. https://t.co/16OJQUCpYM"
1588554771233144833,2022-11-04 15:32:26+00:00,4,0,https://t.co/kkblm4RjWZ
1588554679830519808,2022-11-04 15:32:04+00:00,36,7,"So Musk’s strategy is to make it easier to impersonate public figures &amp; let trolls pay to harass “influencers” by DMing them.

Most of the many death threats I received come via DM.

+since Musk is firing 50% of staff, it won’t have capacity to deal with harassment/impersonation. https://t.co/M3XcVhyyrA"
1588548926004953089,2022-11-04 15:09:12+00:00,128,6,"A big focus of my work has been to deliver on important needs faster.

Working together we’ve passed groundbreaking laws to:

✅Build housing faster

✅Expand public transit faster

✅Deploy clean energy &amp; storage faster

We have big problems &amp; need to move quickly to solve them."
1588376027645911040,2022-11-04 03:42:10+00:00,2,0,@Mitrasays @IDoTheThinking We’ve repeatedly &amp; unsuccessfully tried to do that
1588369448007741445,2022-11-04 03:16:01+00:00,18,1,Thank you @BrooklynNets for acting decisively to address Kyrie Irving’s antisemitism. https://t.co/789W0NPv6W
1588336313987608578,2022-11-04 01:04:21+00:00,284,60,"Elon Musk has begun the butchering of @Twitter. The result is likely to be a more dangerous place for LGBTQ people, Jews, people of color &amp; anyone else who doesn’t fit in with the right-wing vision for our country. My statement: https://t.co/Krwqn30AZo"
1588199859969892352,2022-11-03 16:02:08+00:00,345,17,"When I ran for the Senate, some said “don’t run — you can’t do anything about housing in Sacramento.”

That turned out not to be true.

Over the past 6 years, we’ve revolutionized state housing law. Step by step, we’re winning the fight for more housing. https://t.co/I83i5TRJV0"
1587894310762033153,2022-11-02 19:47:59+00:00,7,0,@quirk_silva Your philosophical tweets always make my day a little better. Thank you.
1587827874039402503,2022-11-02 15:24:00+00:00,58,10,"The Republican response to the attempted maiming of Nancy Pelosi — laughing it off or spinning a homophobic conspiracy theory — shows how far the GOP has fallen.

When one of the two major political parties stops taking political violence seriously, democracy is deeply at risk. https://t.co/EznYxZbxwc"
1587628369562152960,2022-11-02 02:11:14+00:00,18,9,"For anyone holding off getting a monkeypox shot due to wanting the shot in the back of your arm, that method of injection is now available again in SF. ⬇️ https://t.co/jYggCdOUp4"
1587467131406364672,2022-11-01 15:30:32+00:00,62,9,"NIMBYs in Menlo Park are pushing a ballot measure to perpetuate segregation &amp; lack of affordability.

The measure will put Menlo Park into violation of state housing law &amp; subject it to the builder’s remedy - meaning loss of local land use power.

No on V. https://t.co/7rFwRwhxWC"
1587458840378757120,2022-11-01 14:57:35+00:00,36,2,The right-wing grifters who are trying to minimize this political attack on the Speaker &amp; her family — dismissing it as a mental health issue or run-of-the-mill crime — are disgusting. Yes David DePape has big issues. But he was still drawn in by right-wing delusional propaganda.
1587458837438599168,2022-11-01 14:57:35+00:00,147,6,"2 things can be true.

Regardless of David DePape’s mental health, he was sucked into right-wing conspiracy theories &amp; thus broke into the Pelosi home to break Speaker Pelosi’s knees &amp; send a message to other Dems.

Absent that right-wing propaganda, he wouldn’t have done this."
