id,created_at,favorite_count,retweet_count,text
1588596439004741633,2022-11-04 18:18:00+00:00,18,5,"Get out &amp; vote this weekend! 

Let’s get these amazing women elected &amp; (re-elected) to the State Senate!! Check them out. 👇🏽👇🏽👇🏽

@LolaForSenate 
@Cblakespear 
@CarolineMenjiv3 
@aishabbwahab 
@PVillescaz 
@kimcarr4ca 
@Senator_Hurtado for re-election!"
1588568359087771648,2022-11-04 16:26:25+00:00,7,0,"Esta es la verdad! 💯 👇🏽

Rex para alcalde! #LongBeach https://t.co/6oV3KYGQHF"
1588301789438189568,2022-11-03 22:47:10+00:00,18,0,Walking knocking &amp; talking with the amazing #CD9 North LB candidate @DrJoniLB - she’s the right woman for the job!! 💪🏽 https://t.co/nD8tXIWvGw
1587534661638496256,2022-11-01 19:58:52+00:00,15,4,"I thank @_gaby__h_ Maribel, Beto &amp; Maria for their voices here. Immigrant communities shouldn’t be used as pawns in a campaign. If you’re with these communities, you’re with them every damn day, not only when you’re on the campaign trail. 💯 

Adelante con @RexRichardson ! https://t.co/SPCiQhvhjY"
1587525495012237312,2022-11-01 19:22:27+00:00,23,10,"#SB1137 protects frontline communities from oil drilling- the oil industry is gathering signatures to overturn this law. Don’t sign! 

Gas prices are high because of the gas/oil industry 💯 👇🏽

PSA: Do Not Sign This Oil Drilling Referendum - Knock LA https://t.co/SJDPr1pwlL"
1587242774151065601,2022-11-01 00:39:01+00:00,32,2,"Happy Halloween 🎃 👻 
Be safe tonight. 
This year, I am an @lbfirefighters 🔥Luca is an army guy &amp; well, Adam…😱 https://t.co/L6jEkc9JWS"
1587154516775821312,2022-10-31 18:48:19+00:00,14,2,"Happiest Halloween 👻 from your #SD33 District Team!! 

(And our District Director is the bad bunny shark FYI) 🦈 https://t.co/cbhzI8QbNa"
1586854219549577216,2022-10-30 22:55:02+00:00,12,1,"Walking knocking &amp; talking with CD3 awesome candidate @CarusoKailee 

Let’s get her elected! ✊🏽 https://t.co/w152cIKWzm"
1586774116421361664,2022-10-30 17:36:44+00:00,28,1,"Social media is literally the bane of our existence. Starting 2023 without it, might be on everyone’s  New Year resolutions list! 💯"
1586773399719710723,2022-10-30 17:33:53+00:00,0,0,@aapiforce @RexRichardson 👏🏽👏🏽👏🏽
1585715451182559239,2022-10-27 19:29:59+00:00,10,4,Thank you @CalTeamstersPAC 🚛👏🏽 https://t.co/EUkNuIHNa7
1585684442168688640,2022-10-27 17:26:46+00:00,27,8,"Big thank you to all the advocates who put in the time &amp; hard work to ensure we move forward with a strong Advanced Clean Fleet Rule today. 

This work is never easy but the amount of good energy towards cleaner air &amp; regulations that support people first, is always a win. 🚛🚛🚛"
1585096646559698944,2022-10-26 02:31:04+00:00,3,0,@SenDaveMin Thank you Dave! 👏🏽👏🏽👏🏽
