id,created_at,favorite_count,retweet_count,text
1344804447784816642,2021-01-01 00:35:40+00:00,1,0,@laurafriedman43 Oh Rachel! I can’t wait to see the sugar in your kitchen experiments. 😬
1304572325082218496,2020-09-12 00:07:34+00:00,2,0,Vote Yes on California Proposition 18! I support and endorse Prop. 18- Let’s increase voter and civic participation. Thank you @Evan_Low and @kevinmullin for your leadership on this. Young voices are our future.  https://t.co/VMtdznrmO7 https://t.co/YE2Y8Zt7fU
1278494437652393984,2020-07-02 01:03:21+00:00,1,0,"Join me and @CAWomensList 

https://t.co/ZEyTaCNpRN"
1153172447987847169,2019-07-22 05:18:31+00:00,1,0,@gabirosemdo https://t.co/JGLRNIJMmV
1152335884819156992,2019-07-19 21:54:18+00:00,5,0,California Representing @TheDLCC gathering in Napa https://t.co/1jcYN4C9L8
1144638710048104448,2019-06-28 16:08:29+00:00,0,0,@LorenaSGonzalez Yum!
1127033739962249216,2019-05-11 02:12:37+00:00,20,0,Happy Birthday to the next mayor of San Diego and one of CalLeg’s best ⁦@ToddGloria⁩! https://t.co/3rE5XPVtfa
1059982670451490816,2018-11-07 01:35:36+00:00,10,0,Even in the last hours of the campaign we are still knocking on doors! #ConLimòn #LimónForAssembly https://t.co/4wfiobICDK
1003026828112506880,2018-06-02 21:33:25+00:00,4,0,It's Get Out to Vote weekend and #TeamLimón is talking to voters in Assembly District 37. Don't forget to vote Limón for Assembly on June 5th! #ConLimón https://t.co/DS1i8nB6Qk
921562957544173569,2017-10-21 02:25:05+00:00,0,0,@LorenaSGonzalez @TSA A sign you should have been here instead https://t.co/qv7va8s3cZ
838974459386068992,2017-03-07 04:47:53+00:00,8,0,The Assembly #FreshDems Crew https://t.co/5stRCYsMvd
821100627778359296,2017-01-16 21:03:39+00:00,2,0,Ventura and Santa Barbara Counties celebrating the vision and dream of equality and human rights of Dr. Martin Luther King Jr. #MLKDAY https://t.co/361UAHD3Pc
819956704590737408,2017-01-13 17:18:07+00:00,4,0,Morning walk crew at the Capitol! @ToddGloria @KMcCartyAD7 @reyes4assembly @ASM_Irwin @AsmPatODonnell https://t.co/Bp44DL7KM8
805817587833520128,2016-12-05 16:54:18+00:00,13,0,Today a new journey officially begins! https://t.co/dnQTce5fH4
779913186019389440,2016-09-25 05:19:28+00:00,2,0,Great day precinct walking thanks to @SEIU2015! https://t.co/lMCg3yIaQb
730091496615993344,2016-05-10 17:45:51+00:00,0,0,Celebrating 20 years of the Professional Women's Association Conference at UCSB! Honored to kick off day! @UCSBPWA https://t.co/SGSQrSKlHY
722095526867415040,2016-04-18 16:12:44+00:00,0,0,Great things happening in AD 37 this past weekend! https://t.co/5Ev8w6egOS
721460587708829696,2016-04-16 22:09:42+00:00,1,0,Thank you @CDA_Dentists for your work in our community! https://t.co/RPwu2rNs7C
677643742866731008,2015-12-18 00:17:12+00:00,0,0,Ending 2015 strong! Honored to have the support of @CFTunion and @SEIU_California for State Assembly. #TeamMonique https://t.co/CPQupxUAPR
653630936840454144,2015-10-12 17:58:53+00:00,0,1,Great to spend time w/fellow Dems in Vta. Ty for your work n naming me 2015 Dem Champion! Congrats to the honorees! http://t.co/UjiABvkg4l
639900963243982849,2015-09-04 20:40:53+00:00,2,0,The Democratic California Legislative Women's Caucus has endorsed my bid for State Assembly. #AD37 #TeamMonique http://t.co/6dgtT1CyzC
635950064590950400,2015-08-24 23:01:25+00:00,1,0,Thank you to all those dedicated to educating our population. #IStandWithPP @PPact @PPFA http://t.co/b4nd7hS0Ee
633883247772958720,2015-08-19 06:08:37+00:00,0,0,AD 37 consists of 2 of the top 3 ranked Counties with Natural Beauty. Ventura is 1st and SB is 2nd! http://t.co/7IFReeFTBn
631688142072905732,2015-08-13 04:46:03+00:00,5,2,Humbled to have spent the afternoon with Asm @jacquiirwin at her district event and receive her endorsement for #AD37 http://t.co/l5oRz2OxCl
626243364082462720,2015-07-29 04:10:27+00:00,0,0,Excited to have received the endorsement of Ventura County Democratic Chair Thom Tibor! #TeamMonique http://t.co/MVAlMG3Kje
626233255457484801,2015-07-29 03:30:17+00:00,0,0,"Tonight, I had the pleasure of speaking with the Ventura County Dems about my candidacy for AD37! #TeamMonique http://t.co/UwAlz0ZD5u"
625737228350681088,2015-07-27 18:39:15+00:00,2,0,It was a pleasure to spend Saturday Afternoon with @SEIU721 's Latino Caucus! http://t.co/LttM41b3G4
625477119758303232,2015-07-27 01:25:40+00:00,3,1,"We're 10.5 months out, and I'm excited to receive strong support from both SB and Ventura County residents! #TeamMonique"
