id,created_at,favorite_count,retweet_count,text
1587278621516996609,2022-11-01 03:01:28+00:00,3,0,I hope you all are having a fun &amp; safe Halloween! 🎃 https://t.co/pCdmGNq8Xk
1579814097172172802,2022-10-11 12:40:06+00:00,40,11,https://t.co/YybeRz886Z
1579563828685459456,2022-10-10 20:05:38+00:00,97,26,How can we trust those who were elected to represent the diverse &amp; complicated communities when we now know their true thoughts &amp; minds? They cannot represent communities when they despise the individuals that make up that community.
1579563827016130562,2022-10-10 20:05:37+00:00,104,36,"We expect more from our leaders- not just at the pulpit-when the cameras are rolling, but also behind closed doors. The abhorrent comments made by @kdeleon @cd6nury @gilcedillo Martinez @RonHerrera_396 are a true betrayal of those standards. They need to resign immediately."
1579563825313222656,2022-10-10 20:05:37+00:00,140,44,"No apology can make right the appalling, racist &amp; dangerous rhetoric of what I heard on those recordings. The black civil rights movement became the blue print &amp; cornerstone for most, if not all, civil rights movements for ALL marginalized communities in this country &amp; worldwide."
1579563823543250946,2022-10-10 20:05:37+00:00,595,168,"My grandparents used to say, no matter how u slice an orange, what comes out is what's inside! The same can be said for Martinez, KDL &amp; Herrera. African Americans continue to be thrown over the bridge that we built. We need true allies!"
1577712038662602752,2022-10-05 17:27:17+00:00,12,1,"Kicking it with comedian &amp; actor @MrCraigRobinson after the screening of ""Punch 9"", the incredible documentary detailing the election of Harold Washington as Chicago's 1st Black Mayor. Craig also helped finance this powerful &amp; impactful film ✊🏾 https://t.co/SanfSD4eht"
1575308779826061314,2022-09-29 02:17:35+00:00,22,0,Today we lost one of hip hop's originators #Coolio from the CPT. He performed at legislative Bash &amp; I and @QuirkSilva65th joined him on stage.  RIP my friend! 🙏🏽✊🏾
1572334530077278209,2022-09-20 21:18:59+00:00,9,2,"The baseball world lost a giant- Dodger great Maury Willis, a MVP, 3 time world series champ &amp; 1st to steal 100 bases in a single season. He was my idol as a kid &amp; one of my greatest delights was playing golf w him. He couldn't have been any nicer. He's now sliding into heaven🙏🏽"
1569659993590497281,2022-09-13 12:11:20+00:00,14,2,"Heartbroken at the loss one of our greats in the person of jazz pianist, composer, arranger, educator the great Ramsey Lewis. He dominated the jazz and music world for decades. He will truly be missed but never forgotten. Rise In Power ""In the Crowd"" 🙏🏽"
1568169706527379458,2022-09-09 09:29:27+00:00,19,2,"Senator Bradford Secures Funding Necessary to Repair Artesia Bridge
“ $12 million of funding in CA’s 22-23 budget, which will be used to repair the Artesia Bridge in the City of Compton. The bridge has been closed off since Dec of 2020, after a fire rendered it unsafe to use.” https://t.co/rUcTX7y16K"
1567941753663066114,2022-09-08 18:23:39+00:00,4,1,Sad to hear of the passing of David Arnold! He had a true skill to make you laugh! May he Rest In Peace &amp; prayers to his daughters and wife 💚 https://t.co/NgZcv3UhSB
1566093448494587907,2022-09-03 15:59:09+00:00,21,0,"Last night we witnessed the end of an incredible era in tennis w the final match for @serenawilliams ! Though from Compton, she &amp; Venus often practiced at Rowley Park in Gardena. Who knew we were watching the GOAT. Thx for an unbelievable journey! ✊🏾"
1564351596787601414,2022-08-29 20:37:39+00:00,9,2,"We had a great time at the 19th annual Gardena Jazz Festival with 2 amazing talents, drummer Harvey Mason and childhood friend and guitarist extraordinaire Paul Jackson Jr. Thx making the festival a huge success!! https://t.co/t4r6djWtRt"
1559617331512299520,2022-08-16 19:05:22+00:00,11,2,"Paying tribute to a colleague, mentor and friend @SenBobHertzberg! A tireless, passionate, fearless leader of both the Senate and Assembly. He will be missed in the Senate Chamber, but never, ever forgotten! https://t.co/brsTaGRF2F"
1558889378268581889,2022-08-14 18:52:45+00:00,10,2,WHAT IS GOING ON HERE?! The “South Central Hood Tour” Black and brown people can't get licenses to open legal dispensaries in their neighborhoods but you want to drive thru our neighborhoods on a bus getting high?! No. https://t.co/TdJY7LG932
