id,created_at,favorite_count,retweet_count,text
1587142779343233024,2022-10-31 18:01:40+00:00,916,214,Preach! https://t.co/8GgiCHSzXB
1581758833466101760,2022-10-16 21:27:48+00:00,8,1,@CASenateDems and @toniatkins run a fantastic operation. Add a great member like @MHurtadoCA and you have a winning combination! https://t.co/gjKLFZ47Go
1580337452400533504,2022-10-12 23:19:44+00:00,2,0,Powerful truth from NALEO; “There is no vaccine for racism”. As they call upon the additional two members of the LA City Council to follow Nury Martinez with her resignation. https://t.co/9Er96E6Gsv
1577764514811944960,2022-10-05 20:55:48+00:00,4,0,I’m so excited I got my ballot!!! #VOTE https://t.co/UKjQcTN1qW
1576698359959629824,2022-10-02 22:19:17+00:00,0,0,"@ProjectLincoln I know I’ve behaved unconsciously, and I know I would vote against giving me the money if I were in Congress…but please Joe? Please?"
1576006836376903680,2022-10-01 00:31:25+00:00,0,0,@gtconway3d Wild indeed
1576003971545587714,2022-10-01 00:20:02+00:00,25,1,Woot woot-13 of our 15 bills to the Governor’s desk signed! Huge thanks to my amazing team and the people who allow me the privilege of representing them! https://t.co/snqKMUeNrF
1570181516772409344,2022-09-14 22:43:40+00:00,2,0,"@KristinOlsenCA @MattRexroad Laura’s Law is the basic framework of Care Court but with the weight of all agencies involved. And Laura’s Law did help more than 218 people the Gov refers to as, “small ball”. -many others voluntarily engaged in treatment when presented with the option."
1566612707700133888,2022-09-05 02:22:30+00:00,2,0,@Rainbird42true @JayObernolte Can you say this Jay? If you can say this you can not say President Biden was divisive. You have to say he’s speaking the truth.
1566612345463263232,2022-09-05 02:21:04+00:00,3,0,@JayObernolte Stop it Jay. You know better.
1565137613974953984,2022-09-01 00:41:00+00:00,15,3,Interesting @Rendon63rd would override a chair for a labor bill but refused to do the same for bills to address our mental health crisis. Ask the average Californian if unionizing capital staff is more important than addressing the ravages of severe mental health. Sad https://t.co/EBho43oIdr
1564091319613624322,2022-08-29 03:23:24+00:00,1,0,@Martina @cmarinucci What is lesbian dance theory? I’m a lesbian and waiting to be outraged that I haven’t had a briefing!
1562953358683488256,2022-08-26 00:01:33+00:00,3,0,What a great appointment! Welcome Dr Ramos! https://t.co/cLr8q766rw
1562553977694142466,2022-08-24 21:34:33+00:00,12,0,I love this bill! https://t.co/XFl2Yt8Xvb
1560258215866052608,2022-08-18 13:32:01+00:00,17,0,When it’s too hot to bake in the kitchen…#EndOfSession #BreadIsLife #BreakingBread https://t.co/ti0SWErAdK
1559970102472110080,2022-08-17 18:27:09+00:00,18,1,Baking bread for some departing members. This one is called End of Session-mixed grain fruit and nut-when I build them so late at night I’m thinking of breakfast. #BreadIsLife #BreadAcrossTheAisle https://t.co/coEM7JfUyj
1559912026063147013,2022-08-17 14:36:23+00:00,1,0,"Reduce your power today from 4-9, it’s going to be a blazing hot day so let’s do everything we can to keep our grid humming!  https://t.co/W4OmhqyC3N"
1558942440140070912,2022-08-14 22:23:36+00:00,18,6,If you think California can show more strength through compassion-ask @Rendon63rd why #SB1416 couldn’t even get a hearing in assembly judiciary? We can do better now. But alas…politics takes priority over people. https://t.co/cRHHqfJJ6F
1558941430273286144,2022-08-14 22:19:35+00:00,9,1,@hannahcwiley @MelindaSacBee Take a look at SB1416 which expands the definition of gravely disabled- which despite its bipartisan overwhelming support couldn’t get a hearing in Assembly Judiciary. Ask @Rendon63rd what compassion looks like? Have we helped or failed Mark?
1558257518828142593,2022-08-13 01:01:58+00:00,1,0,@NewsHour This is really dangerous folks
1555411147301347328,2022-08-05 04:31:30+00:00,9,0,"I love this. I disagree on most policy issues with the Cheneys, but I agree on their commitment to our republican. The peaceful transfer of power is the essence of our greatness. Without it we witness chaos and destruction. https://t.co/240J5hKmyZ"
1554519882158338048,2022-08-02 17:29:56+00:00,1,0,@PicoDeGallos @AsmGarcia Yes
1554315353475276801,2022-08-02 03:57:12+00:00,6,0,@AlexCVassar @Rendon63rd @SenBobHertzberg @JohnAPerez @GovNerd @SacGreenbelt @BPSeto @Capitol_Weekly @realassemblyman @BillLeonard2011 @SenToniAtkins And it’s her birthday! She’s a glass ceiling Demolisher
1554300366614761472,2022-08-02 02:57:39+00:00,17,1,@AlexCVassar @Rendon63rd @SenBobHertzberg @JohnAPerez @GovNerd @SacGreenbelt @BPSeto @Capitol_Weekly @realassemblyman @BillLeonard2011 Is it just a dude thing or should former Speaker @SenToniAtkins be included?
1554299343116439553,2022-08-02 02:53:35+00:00,3,0,@AsmGarcia A loaf a week for your birthday month!
1548342308126371840,2022-07-16 16:22:27+00:00,0,0,@stocktonfire @SFGiants That Walk Off Grand Slam was for Max
1545930671004143617,2022-07-10 00:39:28+00:00,0,0,"@JCCraves Almond drink- no mammals, no milk."
1545830643400974338,2022-07-09 18:02:00+00:00,0,0,@HeathFloraCA @Cityofmanteca It’s a great project! #Teamwork
1542670916370305024,2022-07-01 00:46:22+00:00,0,0,@logiehess I hear legislative staff are getting a COLA. Hopefully you can remedy your single chair-find them a partner.
1542548303258169344,2022-06-30 16:39:09+00:00,1,0,@logiehess Don’t you have more than one chair?
1542414484613976064,2022-06-30 07:47:24+00:00,4,0,@NancySkinnerCA Thank you Team Skinner for a budget that raises up all Californians
1542414087987965952,2022-06-30 07:45:49+00:00,1,0,@emily_hoeven It was brief; or at least briefish
1542265250749112320,2022-06-29 21:54:24+00:00,2,0,@ShawnKumagai @AsmBillQuirk Thank you for your incredible service to California Bill. I’ll miss you
1541240029124517888,2022-06-27 02:00:32+00:00,1,0,@cincat83 It was for me
1540454673387098112,2022-06-24 21:59:49+00:00,2,0,@OfficialJLD Here’s something everyone can do! Take action. Elections. Matter.
1536133010117910529,2022-06-12 23:47:04+00:00,0,0,@MaxAMaxim @MichaelEHayden Netflix movie in waiting
