id,created_at,favorite_count,retweet_count,text
1588649868050173952,2022-11-04 21:50:18+00:00,10,4,"Why don't more moms run for office?... because we already deal w/ enough drama!

Seriously, we need more mothers running; we keep it real, live the issues and stay the course.

Thank you @VoteMamaPAC for the support and the platform.
https://t.co/C8IBR0Dg42"
1588649859657056256,2022-11-04 21:50:16+00:00,3,0,⬇️⬇️⬇️ https://t.co/8akFXk0h7J
1587184173680205824,2022-10-31 20:46:10+00:00,18,2,"""We don't need a Walker, we need a runner."" 

This slaying is the perfect start to the week.
⬇️ https://t.co/znp1mEPgpx"
1586892151345905664,2022-10-31 01:25:46+00:00,11,3,"This is important. ⬇️ 

Democracies are in peril. We must rebuke nationalists that seek to divide and despair.

https://t.co/SE8GW13Efz"
1586800303310897152,2022-10-30 19:20:48+00:00,15,1,Fired Up! Ready to Vote! ⬇️⬇️ https://t.co/aZ7LXiTlMC
1586116571436486656,2022-10-28 22:03:53+00:00,20,5,"OFF-LIMITS!!!!

These acts of violence aren't cute - they're cowardice. And dangerous. Illegal. And just f-ing wrong. https://t.co/DFxHP8NxPx"
1586092391995318273,2022-10-28 20:27:49+00:00,14,2,"Don't sleep Los Angeles. We're big, and when organized, weve been mighty. 

It's been an honor to serve as Chair of the Los Angeles County Delegation. I expect more wins for the region under the leadership of incoming Chair, @AsmLuzRivas. https://t.co/FTDXsYsDYQ"
1585118503115558914,2022-10-26 03:57:55+00:00,11,2,"Oh no no no no. 

I remember getting and reading 'City of Quartz.' It felt like 1000 Christmases all at once.

Rest in Truth, Mike Davis.

Mike Davis, ‘City of Quartz’ author who chronicled the forces that shaped L.A., dies
https://t.co/54T5P2xNfT"
1585116057064202240,2022-10-26 03:48:12+00:00,10,6,⬇️⬇️⬇️ https://t.co/cwq12z7bCS
1584670573518819328,2022-10-24 22:18:01+00:00,74,20,"This is HUGE!⁣
“The stakes are high this year and I am confident Sydney Kamlager will stand up for the values we hold dear.” – @VP Kamala Harris. ⁣
⁣
I am so honored that she believes enough in our campaign to endorse us and join #TeamKamlager. https://t.co/ORQ6wIc6XW"
1584663815341252608,2022-10-24 21:51:09+00:00,22,5,"There is NO place for antisemitism. It is corrosive, insidious and dangerous.

Heinrich Heine once said, ""those who burn books will in the end burn people.""

That thinking starts with standing down to antisemitism and being a firestarter for hate. 

SO DON'T!
#WhiteSupremacy"
1583151839310008320,2022-10-20 17:43:06+00:00,60,32,"Slavery is on the ballot in 5 US states this November, including Tennessee, Alabama and Louisiana. 

But not in California.

Forgive me if I'm still salty.
#ACA3 

https://t.co/oOXNTSksu2"
1582414467555463171,2022-10-18 16:53:03+00:00,21,2,"NIH just released a study. 

♀️ who frequently used hair straightening products more than doubled their risk of developing uterine cancer. 

Rates of uterine cancer are on the rise in the US, particularly among Black women.

Renewed Praise for #TheCrownAct 
@HollyJMitchell https://t.co/mT7kO5QEZT"
1581093587642503168,2022-10-15 01:24:21+00:00,20,1,"🤣🤣🤣🤣

This is the best bedtime story. https://t.co/83q13PcYGT"
1580649816631042048,2022-10-13 20:00:57+00:00,479,32,"This is what it looks like when you tell @POTUS you are running for Congress, to succeed @KarenBassLA. https://t.co/mt7aJwlfMq"
1580646051274362880,2022-10-13 19:46:00+00:00,14,3,"""The Republicans vote no and then they take the dough."" 

@POTUS was on fire today.

All that Democrats have done to move dollars and jobs into the homes of working families. So let's win these midterms so we can keep delivering for the American people.
@LIUNA https://t.co/Mmn3cFThiz"
1580332346032631808,2022-10-12 22:59:27+00:00,73,20,"LA it’s been a hell of a week…still processing. Was interviewed yesterday, but important things were left out of the story. Here’s what I have to share. 
https://t.co/O7MMw6qo1m"
1579707608281518082,2022-10-11 05:36:58+00:00,1,0,@humaneheadlines @WVON1690 I'll call you
1579611265227366400,2022-10-10 23:14:08+00:00,2,0,@babs_zone Ok. Thanks for the edit
